timestamp,symbol,timeframe,setup_type,bias,scenario_label,effort_result_state,absorption_candidate,climax_candidate,crowding_status,taker_price_divergence,oi_build_type,oi_semantic_reliable,passed,block_reasons,semantic_blocked,warnings
2026-05-05T07:15:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-05T08:00:00+00:00,ETHUSDT,1h,Continuation,Bullish,mixed_context,Efficient,False,False,extreme_crowded_short,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,
2026-05-05T08:00:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T00:00:00+00:00,ETHUSDT,1h,Continuation,Bullish,mixed_context,Efficient,False,False,extreme_crowded_short,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,
2026-05-06T00:00:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T12:15:00+00:00,ETHUSDT,1h,Continuation,Bullish,mixed_context,Efficient,False,False,extreme_crowded_short,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,
2026-05-06T12:15:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T12:30:00+00:00,ETHUSDT,1h,Continuation,Bullish,mixed_context,Efficient,False,False,extreme_crowded_short,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,
2026-05-06T12:30:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T12:45:00+00:00,ETHUSDT,1h,Continuation,Bullish,mixed_context,Efficient,False,False,extreme_crowded_short,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,
