timestamp,symbol,timeframe,foundation_version,action_bias,action_status,v2_action_bias,v2_action_status,price_change_15m,price_change_1h,price_change_4h,oi_delta_15m,oi_delta_z_15m,oi_delta_reliable_15m,taker_buy_sell_ratio_delta_15m,taker_buy_sell_ratio_delta_4h,taker_buy_sell_ratio_level_15m,taker_price_divergence,market_trend,market_control,htf_trend,htf_alignment,flow_alignment,trend_alignment,clarity_confidence,regime_structure_direction_15m,final_structural_permission,crowding_status_15m,crowding_side_15m,crowding_side_4h,crowding_side_24h,funding_level_15m,funding_trend_15m,funding_extreme_15m,fallback_fields_15m,data_quality_status,oi_delta_reliable,zscore_baseline_status,scenario_label,scenario_disposition,setup_type,efficient_build_quality,efficient_build_quality_reason,scenario_reasons,mode_c_risks,mode_a_reasons,block_reasons,hard_filter_reasons,crowding_status,crowding_side,absorption_candidate,climax_candidate,regime_warning,expansion_subtype,compression_type,final_entry_permission,structural_block_reason,structural_warning_reason,structural_confidence_multiplier,layer5_watch_status,layer5_watch_reason,layer5_candidate_tier,layer5_direction_bias,layer5_direction_reason,direction_alignment_status,direction_alignment_reason,v2balanced_candidate_stage,v2balanced_stage_reason,v2balanced_semantic_readiness,v2balanced_readiness_reason,bucket_is_closed,bucket_completion_pct,volume_z_reliable,oi_delta_z_reliable
2026-05-15T02:56:58.754270Z,BUSDT,15m,v2_option_a,Bearish,Ready,Bearish,Ready,-0.0035069145324465,-0.0012011798849364,-0.0252049180327868,0.0,1.6801613693292308,True,-0.2756833343130139,-0.1495251994506253,-0.1991829138693663,False,Bearish,Seller Dominant,Bearish,Aligned,0.6098,0.9,0.846,neutral,STRUCTURAL_PENALTY,neutral,none,long,long,5e-05,-1.819222160956385e-05,False,,FRESH,True,NORMAL,weak_propulsion,wait,Continuation,WAIT,non_efficient_or_mixed,,"Open interest is rising, so fresh positions are entering the move.|Open interest is building but price is not advancing, which points to weak positioning rather than healthy upside acceptance.|Higher timeframe trend/control does not support upside, so local rebounds carry distribution risk.",Distribution Risk: HIGH,scenario_not_allow,scenario_not_allow,neutral,none,False,False,,unknown_expansion,no_compression,BLOCK,,non_structural_continuation,0.75,WATCHLIST_WEAK_PROPULSION,clean_weak_propulsion_waiting_confirmation,B,SHORT_WATCH,bearish_bias_price_taker_supported,ALIGNED,action_bearish_matches_layer5_short_watch,READY_LEGACY,legacy_ready_but_scenario_not_allow,WAIT_SCENARIO,scenario_wait,False,0.7987675311111111,True,True
2026-05-15T02:56:58.754270Z,STARUSDT,15m,v2_option_a,Neutral,Ready,Neutral,Ready,0.0281536272492447,-0.0431783999314011,-0.0013585725930621,0.0,1.498939737905081,True,-0.4710805399727286,-0.0185257269499938,-0.3054387940410399,True,Bullish,Buyer Dominant,Neutral,Neutral,0.5623,0.72,0.7798,bullish,STRUCTURAL_ALLOW,extreme_crowded_long,long,long,long,0.00072174,0.0001266022970039,True,,FRESH,True,NORMAL,mixed_context,observe,Continuation,WAIT,taker_price_divergence,,"Open interest is rising, so fresh positions are entering the move.",,mixed_context_blocked|scenario_not_allow,mixed_context_blocked|scenario_not_allow,extreme_crowded_long,long,False,False,,unknown_expansion,no_compression,BLOCK,,,1.0,AVOID_HARD_RISK,hard_risk:extreme_crowded_long,,NO_DIRECTION,not_watchlist,NO_DIRECTION,no_layer5_direction,AVOID_RISK,avoid_hard_risk,AVOID_LAYER5_RISK,layer5_extreme_crowded_long,False,0.7989764311111112,True,True
2026-05-15T02:56:58.754270Z,DODOXUSDT,15m,v2_option_a,Neutral,Building,Neutral,Building,0.0145717181956411,-0.0071608673726676,-0.0551800714492612,0.0,4.594583150234652,True,1.2666768631725296,-0.1534497661770719,1.0024317301941406,False,Neutral,Neutral,Neutral,Neutral,0.48,0.3,0.3525,neutral,STRUCTURAL_PENALTY,neutral,none,short,short,5e-05,2.713649189413238e-06,False,,FRESH,True,NORMAL,mixed_context,observe,Continuation,WAIT,non_efficient_or_mixed,neutral_bias,"Open interest is rising, so fresh positions are entering the move.",,,,neutral,none,False,False,,volatile_expansion,no_compression,BLOCK,,non_structural_continuation,0.75,WATCHLIST_MIXED_BUILDING,clean_mixed_context_building,B,NEUTRAL_WATCH,conflicting_or_insufficient_direction,UNKNOWN_ALIGNMENT,action_Neutral_layer5_NEUTRAL_WATCH,WATCH_NEUTRAL,neutral_watchlist,WAIT_SCENARIO,mixed_context_wait,False,0.0,True,True
2026-05-15T02:56:58.754270Z,PHAROSUSDT,15m,v2_option_a,Bullish,Ready,Bullish,Ready,0.0104400687194395,-0.010976809473124,0.0235992271598123,0.0,3.361815572115034,True,0.4286259330170526,0.0813895983730368,0.2130932154607083,False,Bullish,Buyer Dominant,Neutral,Neutral,0.6007,0.72,0.8434,neutral,STRUCTURAL_PENALTY,neutral,none,long,long,5e-05,-7.719403860728319e-06,False,,FRESH,True,NORMAL,weak_propulsion,wait,Continuation,WAIT,non_efficient_or_mixed,,"Open interest is rising, so fresh positions are entering the move.",,scenario_not_allow|exhaustion_oi_climax,scenario_not_allow|exhaustion_oi_climax,neutral,none,False,False,,unknown_expansion,no_compression,BLOCK,,non_structural_continuation,0.75,AVOID_HARD_RISK,hard_risk:exhaustion_oi_climax,,NO_DIRECTION,not_watchlist,NO_DIRECTION,no_layer5_direction,AVOID_RISK,avoid_hard_risk,AVOID_LAYER5_RISK,layer5_exhaustion_oi_climax,False,0.7991889577777779,True,True
2026-05-15T02:56:58.754270Z,MLNUSDT,15m,v2_option_a,Bullish,Triggered,Bullish,Triggered,0.1381294964028777,0.0371041715336731,-0.0938511326860841,0.0,4.5749330382268685,True,0.2170597014259129,-0.0344385858919391,0.2828453945602537,False,Bullish,Buyer Dominant,Neutral,Neutral,0.8502,0.72,0.8843,bullish,STRUCTURAL_ALLOW,extreme_crowded_short,short,short,short,-0.00283032,-0.0007570182296467,True,,FRESH,True,NORMAL,late_expansion,wait,Continuation,REDUCE_OR_WAIT,extreme_crowding,,"Open interest is rising, so fresh positions are entering the move.",,late_expansion_blocked|scenario_not_allow|semantic_crowded_late_continuation_block|exhaustion_volume_climax|exhaustion_oi_climax|chasing_pump_candle,late_expansion_blocked|scenario_not_allow|semantic_crowded_late_continuation_block|exhaustion_volume_climax|exhaustion_oi_climax|chasing_pump_candle,extreme_crowded_short,short,False,False,,volatile_expansion,no_compression,BLOCK,,,1.0,AVOID_HARD_RISK,hard_risk:extreme_crowded_short,,NO_DIRECTION,not_watchlist,NO_DIRECTION,no_layer5_direction,AVOID_RISK,avoid_hard_risk,AVOID_LAYER5_RISK,layer5_extreme_crowded_short,False,0.7988551555555556,True,True
2026-05-15T02:56:58.754270Z,UBUSDT,15m,v2_option_a,Bullish,Ready,Bullish,Ready,0.0072514815769131,0.0194200585262038,0.0528789659224442,0.0,2.6099848066361986,True,0.0400289078487118,-0.0185213507934727,0.1158255655055904,False,Bullish,Buyer Dominant,Bullish,Aligned,0.5547,0.9,0.8712,neutral,STRUCTURAL_PENALTY,neutral,none,short,short,5e-05,-2.1369197359430263e-11,False,,FRESH,True,NORMAL,weak_propulsion,wait,Continuation,WAIT,non_efficient_or_mixed,,"Open interest is rising, so fresh positions are entering the move.",,scenario_not_allow,scenario_not_allow,neutral,none,False,False,,unknown_expansion,no_compression,BLOCK,,non_structural_continuation,0.75,WATCHLIST_WEAK_PROPULSION,clean_weak_propulsion_waiting_confirmation,B,LONG_WATCH,bullish_bias_price_taker_supported,ALIGNED,action_bullish_matches_layer5_long_watch,READY_LEGACY,legacy_ready_but_scenario_not_allow,WAIT_SCENARIO,scenario_wait,False,0.7988248944444445,True,True
