candidate,source_signal_id,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,entry_kind,signal_time,entry_touched_at,closed_at,result,close_reason,pnl_pct,r_multiple,position_size_multiplier,allocated_r,entry_price,stop_loss,target_price_1,target_price_2,continuation_quality_ready,continuation_quality_score,market_pressure_4h,flow_alignment,volume_z_15m,oi_delta_z_15m,taker_buy_sell_ratio_delta_15m,ema30,ema100,ema30_slope,ema30_extension_atr,mae_r,mfe_r,entry_efficiency
qmid_p06_15m_strict,54,SIRENUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T06:38:24.522862+00:00,2026-04-28T06:38:24.522862+00:00,2026-04-28T09:57:09.555167+00:00,win,Continuation Trail Stop,1.20641943,0.58318017,0.6265,0.36536238,0.6992,0.6847357142857143,0.7135196428571429,0.7281285714285715,True,0.4311,-0.20252158733565198,0.8956,1.0697451448621331,0.7191558715138843,0.07578643038178211,0.69429169,0.6761719,-0.0001442542,0.3559,0.3526,1.3689,0.7952
qmid_p06_15m_strict,129,WLFIUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-05T04:08:46.288863+00:00,2026-05-05T04:08:46.288863+00:00,2026-05-05T05:14:54.600483+00:00,loss,Invalidation,-0.92364532,-1.0,1.2538,-1.2538,0.0638,0.06321071428571429,0.06438339285714284,0.06497857142857141,True,0.5042,0.12017222692524959,0.9019,2.92414926338521,0.9485248431248835,0.5367860557486651,0.06365491,0.06222428,-1.06835e-05,0.0236,1.1879,0.0,0.0
qmid_p06_15m_strict,130,WLFIUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-05-05T06:05:52.604812+00:00,2026-05-05T06:05:52.604812+00:00,2026-05-05T08:13:15.503350+00:00,win,Continuation Trail Stop,0.37031611,0.54036046,0.6222,0.33621228,0.0641,0.06366071428571429,0.06453489285714285,0.06497857142857143,True,0.4774,0.12017222692524959,0.872,2.1427573899619072,0.8179648565726496,0.37809700844717853,0.06353371,0.06239378,1.14683e-05,0.1239,0.2276,1.5935,0.875
qmid_p06_15m_strict,135,1000PEPEUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-05-05T12:28:10.950345+00:00,2026-05-05T12:28:10.950345+00:00,2026-05-05T13:59:50.902221+00:00,win,Target 2,0.67830102,1.495,1.2552,1.876524,0.0040877,0.004069153571428571,0.004106060964285714,0.004124792857142857,True,0.4742,0.09732088448463323,0.9054,1.7378141734899568,1.4575534532394976,0.5027991486120396,0.00406662,0.00403863,1.4539e-06,0.007,0.2157,1.6337,0.8834
qmid_p06_15m_strict,149,NFPUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-06T01:43:12.476922+00:00,2026-05-06T01:43:12.476922+00:00,2026-05-06T02:59:36.847588+00:00,win,Partial TP1,0.43168605,0.495,0.627,0.310365,0.0129,0.0127875,0.013011375,0.013125,True,0.4349,0.5221225721451046,0.9063,3.2430496422924446,1.6095204174976228,0.9219564307589809,0.01281443,0.01309777,5.9016e-06,0.0147,0.0889,0.9778,0.9167
