candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
qmid_p06_15m_strict,32,PENGUUSDT,4h,Continuation,Bullish,2026-04-26T12:00:03.838952+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,33,XLMUSDT,1h,Continuation,Bullish,2026-04-26T12:00:06.513600+00:00,guard_timeframe_1h,
qmid_p06_15m_strict,34,ORCAUSDT,15m,Continuation,Bullish,2026-04-26T13:28:18.332461+00:00,guard_quality_not_ready,
qmid_p06_15m_strict,35,SEIUSDT,15m,Continuation,Bullish,2026-04-26T14:24:55.296885+00:00,guard_quality_not_ready,
qmid_p06_15m_strict,36,INJUSDT,15m,Continuation,Bullish,2026-04-26T15:26:42.012694+00:00,guard_quality_not_ready,
qmid_p06_15m_strict,37,CHZUSDT,4h,Continuation,Bullish,2026-04-26T16:00:05.498613+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,38,AXSUSDT,15m,Continuation,Bullish,2026-04-26T19:28:37.060134+00:00,guard_quality_not_ready,
qmid_p06_15m_strict,39,AAVEUSDT,4h,Continuation,Bullish,2026-04-26T20:00:03.797533+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,40,HIGHUSDT,15m,Continuation,Bullish,2026-04-26T20:20:05.694944+00:00,guard_quality_not_ready,
qmid_p06_15m_strict,41,SONICUSDT,15m,Continuation,Bearish,2026-04-26T21:54:51.827206+00:00,guard_quality_not_ready,
qmid_p06_15m_strict,42,VVVUSDT,15m,Continuation,Bullish,2026-04-26T22:25:01.236669+00:00,guard_quality_not_ready,
qmid_p06_15m_strict,43,ONDOUSDT,24h,Continuation,Bullish,2026-04-26T23:18:58.803078+00:00,guard_timeframe_24h,
qmid_p06_15m_strict,44,FARTCOINUSDT,4h,Continuation,Bullish,2026-04-27T00:04:44.483023+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,45,VIRTUALUSDT,1h,Continuation,Bullish,2026-04-27T01:04:42.335016+00:00,guard_timeframe_1h,
qmid_p06_15m_strict,46,SEIUSDT,24h,Continuation,Bullish,2026-04-27T01:50:28.551390+00:00,guard_timeframe_24h,
qmid_p06_15m_strict,47,1000PEPEUSDT,4h,Continuation,Bullish,2026-04-27T04:02:39.603957+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,48,AAVEUSDT,4h,Continuation,Bullish,2026-04-27T04:02:41.499745+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,49,SPKUSDT,4h,Continuation,Bullish,2026-04-27T04:02:43.626465+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,50,MONUSDT,4h,Continuation,Bullish,2026-04-27T04:02:46.633158+00:00,guard_timeframe_4h,
qmid_p06_15m_strict,51,GENIUSUSDT,15m,Continuation,Bullish,2026-04-27T04:58:42.179294+00:00,guard_quality_not_ready,
