Version,Symbol,Timeframe,Timestamp,Setup,Regime,Confidence,Bias,PnL_Pct,Result,AI_Score,Computed_TP,Computed_SL,Computed_RR
v3_ema,YGGUSDT,15m,2026-04-25 23:14:59.999000+00:00,Continuation,Balanced,0.8466,Bullish,-1.2277,loss,0.0,,,
v3_ema,CHZUSDT,4h,2026-04-19 19:59:59.999000+00:00,Continuation,Trending,0.8501,Bullish,-3.4402,loss,0.0,,,
v3_ema,CHZUSDT,4h,2026-04-20 15:59:59.999000+00:00,Continuation,Trending,0.8493,Bullish,2.5073,win,0.0,,,
v3_ema,CHZUSDT,4h,2026-04-23 23:59:59.999000+00:00,Continuation,Trending,0.887,Bullish,-5.4595,loss,0.0,,,
v3_ema,CHZUSDT,15m,2026-04-24 12:25:15.778944+00:00,Continuation,Ranging,0.7851,Bullish,-0.2905,loss,0.0,,,
v3_ema,ZROUSDT,1h,2026-04-22 04:59:57.530851+00:00,Continuation,Balanced,0.8528,Bullish,-0.236,loss,0.0,,,
v3_ema,ZROUSDT,1h,2026-04-27 12:57:08.839885+00:00,Continuation,Balanced,0.4877,Bearish,0.8118,win,0.0,,,
v3_ema,BCHUSDT,4h,2026-04-17 15:58:44.428431+00:00,Continuation,Balanced,0.8923,Bullish,-2.0962,loss,0.0,,,
v3_ema,BCHUSDT,24h,2026-04-22 23:58:03.463659+00:00,Continuation,Trending,0.8503,Bullish,-1.224,loss,0.0,,,
v3_ema,MOVRUSDT,15m,2026-04-25 23:12:16.377462+00:00,Continuation,Balanced,0.8685,Bullish,-2.0372,loss,0.0,,,
v3_ema,ESPUSDT,15m,2026-04-26 03:57:19.044876+00:00,Continuation,Balanced,0.466,Bearish,-0.3475,loss,0.0,,,
v3_ema,PRLUSDT,15m,2026-04-26 00:14:59.999000+00:00,Continuation,Balanced,0.869,Bullish,-1.354,loss,0.0,,,
v3_ema,PRLUSDT,15m,2026-04-27 19:59:59.999000+00:00,Continuation,Trending,0.8336,Bullish,-6.09,loss,0.0,,,
v3_ema,PRLUSDT,15m,2026-04-28 18:25:52.681002+00:00,Continuation,Balanced,0.8223,Bullish,-0.9346,loss,0.0,,,
v3_ema,LINEAUSDT,4h,2026-04-24 19:59:59.999000+00:00,Continuation,Trending,0.8648,Bullish,1.5305,win,0.0,,,
v3_ema,LINEAUSDT,4h,2026-04-25 11:59:59.999000+00:00,Continuation,Trending,0.8923,Bullish,0.154,loss,0.0,,,
v3_ema,1000SHIBUSDT,24h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.9079,Bullish,-5.9845,loss,0.0,,,
v3_ema,1000SHIBUSDT,15m,2026-04-22 14:28:07.713647+00:00,Continuation,Ranging,0.8316,Bullish,0.1854,win,0.0,,,
v3_ema,1000SHIBUSDT,15m,2026-04-30 06:43:15.104600+00:00,Continuation,Ranging,0.8072,Bullish,0.7994,win,0.0,,,
v3_ema,TIAUSDT,4h,2026-04-15 11:59:59.999000+00:00,Continuation,Trending,0.8897,Bullish,1.6666,win,0.0,,,
v3_ema,TIAUSDT,4h,2026-04-16 07:59:59.999000+00:00,Continuation,Trending,0.9019,Bullish,5.3734,win,0.0,,,
v3_ema,TIAUSDT,1h,2026-04-19 06:55:50.584207+00:00,Continuation,Balanced,0.8462,Bullish,-1.5004,loss,0.0,,,
v3_ema,TIAUSDT,15m,2026-04-21 10:13:33.947027+00:00,Continuation,Ranging,0.8732,Bullish,-0.4304,loss,0.0,,,
v3_ema,PUMPUSDT,15m,2026-04-12 01:56:18.478981+00:00,Squeeze,Balanced,0.85,Bearish,1.9131,win,0.0,,,
v3_ema,PUMPUSDT,4h,2026-04-13 23:56:29.181229+00:00,Continuation,Trending,0.8661,Bullish,-0.9499,loss,0.0,,,
v3_ema,PUMPUSDT,15m,2026-04-29 04:26:45.047015+00:00,Continuation,Balanced,0.8564,Bullish,0.6823,win,0.0,,,
v3_ema,ATOMUSDT,4h,2026-04-12 03:59:59.999000+00:00,Continuation,Balanced,0.4991,Bearish,1.0992,win,0.0,,,
v3_ema,ATOMUSDT,1h,2026-04-22 05:58:31.963211+00:00,Continuation,Balanced,0.9151,Bullish,-0.5837,loss,0.0,,,
v3_ema,INJUSDT,4h,2026-04-13 23:59:59.999000+00:00,Continuation,Trending,0.8751,Bullish,-1.7676,loss,0.0,,,
v3_ema,INJUSDT,4h,2026-04-15 15:59:59.999000+00:00,Continuation,Balanced,0.8864,Bullish,4.0315,win,0.0,,,
v3_ema,INJUSDT,4h,2026-04-16 03:59:59.999000+00:00,Continuation,Trending,0.8601,Bullish,1.9055,win,0.0,,,
v3_ema,INJUSDT,4h,2026-04-25 15:59:26.047331+00:00,Continuation,Trending,0.9103,Bullish,4.857,win,0.0,,,
v3_ema,INJUSDT,15m,2026-04-26 15:26:41.439582+00:00,Continuation,Balanced,0.8498,Bullish,-0.1451,loss,0.0,,,
v3_ema,NOMUSDT,4h,2026-04-21 07:56:00.174031+00:00,Continuation,Trending,0.8792,Bullish,-5.2148,loss,0.0,,,
v3_ema,NOMUSDT,15m,2026-04-29 17:44:59.999000+00:00,Continuation,Trending,0.8353,Bullish,-3.0557,loss,0.0,,,
v3_ema,NOMUSDT,15m,2026-04-29 19:29:59.999000+00:00,Continuation,Trending,0.8358,Bullish,1.4135,win,0.0,,,
v3_ema,QUSDT,15m,2026-04-25 08:56:44.653847+00:00,Continuation,Balanced,0.8131,Bullish,-1.3417,loss,0.0,,,
v3_ema,ZBTUSDT,1h,2026-04-23 11:59:59.999000+00:00,Continuation,Trending,0.8674,Bullish,6.3354,win,0.0,,,
v3_ema,ZBTUSDT,4h,2026-04-24 03:59:59.999000+00:00,Continuation,Trending,0.9043,Bullish,9.1211,win,0.0,,,
v3_ema,CHIPUSDT,15m,2026-04-22 00:14:59.999000+00:00,Continuation,Trending,0.8964,Bullish,-6.7045,loss,0.0,,,
v3_ema,ZEREBROUSDT,15m,2026-04-21 23:14:59.999000+00:00,Continuation,Trending,0.824,Bullish,4.246,win,0.0,,,
v3_ema,ZEREBROUSDT,1h,2026-04-29 17:59:59.999000+00:00,Continuation,Trending,0.9029,Bullish,11.4018,win,0.0,,,
v3_ema,LIGHTUSDT,1h,2026-04-20 23:57:39.152752+00:00,Continuation,Balanced,0.886,Bullish,2.521,win,0.0,,,
v3_ema,SIRENUSDT,15m,2026-04-06 06:40:30.230888+00:00,Continuation,Trending,0.4405,Bearish,-4.2719,loss,0.0,,,
v3_ema,MSTRUSDT,4h,2026-04-14 07:55:20.338849+00:00,Continuation,Balanced,0.8724,Bullish,3.4002,win,0.0,,,
v3_ema,TACUSDT,15m,2026-04-24 09:40:43.464314+00:00,Continuation,Balanced,0.8407,Bullish,-0.1253,loss,0.0,,,
v3_ema,TACUSDT,15m,2026-04-29 08:29:27.058746+00:00,Continuation,Balanced,0.8275,Bullish,3.2523,win,0.0,,,
v3_ema,TRUMPUSDT,4h,2026-04-08 07:57:26.669608+00:00,Continuation,Balanced,0.8764,Bullish,-2.6018,loss,0.0,,,
v3_ema,TRUMPUSDT,4h,2026-04-15 23:59:41.047592+00:00,Continuation,Balanced,0.9088,Bullish,1.2937,win,0.0,,,
v3_ema,TRUMPUSDT,15m,2026-04-16 15:43:45.961126+00:00,Continuation,Balanced,0.8323,Bullish,1.4484,win,0.0,,,
v3_ema,MINAUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.878,Bullish,-1.3184,loss,0.0,,,
v3_ema,MINAUSDT,15m,2026-04-28 13:29:32.842533+00:00,Continuation,Ranging,0.8294,Bullish,-0.3928,loss,0.0,,,
v3_ema,VETUSDT,4h,2026-04-18 11:57:34.579849+00:00,Continuation,Trending,0.8662,Bearish,0.0291,open,0.0,,,
v3_ema,VANAUSDT,4h,2026-04-24 03:59:59.999000+00:00,Continuation,Trending,0.8903,Bullish,1.5227,win,0.0,,,
v3_ema,RAVEUSDT,4h,2026-04-08 11:59:59.999000+00:00,Continuation,Trending,0.9014,Bullish,11.384,win,0.0,,,
v3_ema,RAVEUSDT,15m,2026-04-22 09:57:37.141105+00:00,Continuation,Trending,0.798,Bullish,-2.7946,loss,0.0,,,
v3_ema,RAVEUSDT,15m,2026-04-24 08:14:16.909762+00:00,Continuation,Trending,0.8149,Bullish,-2.8591,loss,0.0,,,
v3_ema,WETUSDT,15m,2026-04-13 16:44:59.999000+00:00,Continuation,Trending,0.8592,Bullish,-2.2042,loss,0.0,,,
v3_ema,WETUSDT,15m,2026-04-16 02:12:06.849860+00:00,Continuation,Balanced,0.8141,Bullish,1.2217,win,0.0,,,
v3_ema,ENJUSDT,15m,2026-04-26 00:59:12.278126+00:00,Continuation,Balanced,0.837,Bullish,-0.9653,loss,0.0,,,
v3_ema,MYXUSDT,15m,2026-04-15 10:59:47.726371+00:00,Continuation,Trending,0.7931,Bullish,1.4001,win,0.0,,,
v3_ema,MYXUSDT,4h,2026-04-24 03:59:59.999000+00:00,Continuation,Trending,0.8609,Bullish,-5.8211,loss,0.0,,,
v3_ema,SUIUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.8947,Bullish,-3.4636,loss,0.0,,,
v3_ema,SUIUSDT,4h,2026-04-13 23:56:29.181229+00:00,Continuation,Trending,0.8626,Bullish,-1.6447,loss,0.0,,,
v3_ema,SUIUSDT,4h,2026-04-16 03:59:07.940381+00:00,Continuation,Balanced,0.871,Bullish,1.2471,win,0.0,,,
v3_ema,CLUSDT,15m,2026-04-07 10:57:42.648157+00:00,Continuation,Balanced,0.7892,Bullish,0.8342,win,0.0,,,
v3_ema,1000PEPEUSDT,1h,2026-04-07 19:58:07.126140+00:00,Continuation,Balanced,0.8963,Bullish,2.1378,win,0.0,,,
v3_ema,1000PEPEUSDT,1h,2026-04-11 21:56:14.669046+00:00,Continuation,Balanced,0.8307,Bullish,-1.6735,loss,0.0,,,
v3_ema,1000PEPEUSDT,15m,2026-04-12 01:56:18.478981+00:00,Squeeze,Balanced,0.85,Bearish,-0.0747,loss,0.0,,,
v3_ema,1000PEPEUSDT,15m,2026-04-15 22:43:12.392554+00:00,Continuation,Balanced,0.8574,Bullish,-0.8251,loss,0.0,,,
v3_ema,1000PEPEUSDT,4h,2026-04-26 11:55:37.716802+00:00,Continuation,Balanced,0.9061,Bullish,-2.0948,loss,0.0,,,
v3_ema,1000PEPEUSDT,4h,2026-04-27 03:57:34.172163+00:00,Continuation,Trending,0.9017,Bullish,-2.2772,loss,0.0,,,
v3_ema,RAYSOLUSDT,4h,2026-04-21 03:59:59.999000+00:00,Continuation,Trending,0.8659,Bullish,-1.0436,loss,0.0,,,
v3_ema,RAYSOLUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.8977,Bullish,-2.6543,loss,0.0,,,
v3_ema,SAHARAUSDT,4h,2026-04-22 15:59:59.999000+00:00,Continuation,Trending,0.9007,Bullish,-3.2138,loss,0.0,,,
v3_ema,ARIAUSDT,1h,2026-04-07 12:54:51.737907+00:00,Continuation,Trending,0.502,Bearish,2.4442,win,0.0,,,
