Version,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result
v2_balanced,VVVUSDT,15m,Continuation,Balanced,0.8241,Bullish,Long,0.4561,win
v2_balanced,VVVUSDT,4h,Continuation,Trending,0.9041,Bullish,Long,2.163,win
v2_balanced,1000PEPEUSDT,1h,Continuation,Balanced,0.8323,Bullish,Long,-1.6735,loss
v2_balanced,1000PEPEUSDT,15m,Continuation,Balanced,0.8574,Bullish,Long,-0.8251,loss
v2_balanced,1000PEPEUSDT,4h,Continuation,Balanced,0.9061,Bullish,Long,-2.0948,loss
v2_balanced,1000PEPEUSDT,4h,Continuation,Trending,0.9017,Bullish,Long,-2.2772,loss
v2_balanced,WLDUSDT,1h,Continuation,Balanced,0.842,Bullish,Long,-0.5295,loss
v2_balanced,WLDUSDT,4h,Continuation,Trending,0.7974,Bullish,Long,3.2308,win
v2_balanced,PIXELUSDT,1h,Continuation,Trending,0.8695,Bullish,Long,-2.3531,loss
v2_balanced,TRUUSDT,15m,Continuation,Balanced,0.8462,Bullish,Long,-1.6062,loss
v2_balanced,MUSDT,4h,Continuation,Trending,0.8509,Bullish,Long,7.6019,win
v2_balanced,NMRUSDT,15m,Continuation,Balanced,0.8172,Bullish,Long,3.6498,win
v2_balanced,RIVERUSDT,15m,Continuation,Balanced,0.8021,Bullish,Long,3.2182,win
v2_balanced,RIVERUSDT,15m,Continuation,Balanced,0.7943,Bullish,Long,0.6253,win
v2_balanced,TACUSDT,15m,Continuation,Balanced,0.8407,Bullish,Long,-0.1253,loss
v2_balanced,TACUSDT,15m,Continuation,Balanced,0.8275,Bullish,Long,3.2523,win
v2_balanced,XPLUSDT,15m,Continuation,Balanced,0.8554,Bullish,Long,-1.5066,loss
v2_balanced,XPLUSDT,4h,Continuation,Trending,0.8616,Bullish,Long,-4.528,loss
v2_balanced,XAUTUSDT,4h,Continuation,Balanced,0.8231,Bullish,Long,-1.6647,loss
v2_balanced,ETCUSDT,4h,Continuation,Balanced,0.8614,Bullish,Long,-2.3116,loss
v2_balanced,TRUMPUSDT,4h,Continuation,Balanced,0.8776,Bullish,Long,-2.6018,loss
v2_balanced,TRUMPUSDT,4h,Continuation,Balanced,0.9088,Bullish,Long,1.2937,win
v2_balanced,TAOUSDT,4h,Continuation,Balanced,0.8851,Bullish,Long,1.3228,win
v2_balanced,TAOUSDT,4h,Continuation,Trending,0.8926,Bullish,Long,-3.625,loss
v2_balanced,TAOUSDT,24h,Continuation,Trending,0.8192,Bullish,Long,-3.2527,open
