candidate,source_signal_id,symbol,timeframe,setup_type,bias,signal_time,reason,details
qmid_p06_15m_only,139,MONUSDT,4h,Continuation,Bullish,2026-05-05T16:02:15.127579+00:00,guard_timeframe_4h,
qmid_p06_15m_only,142,ICPUSDT,4h,Continuation,Bullish,2026-05-05T20:01:42.287320+00:00,guard_timeframe_4h,
qmid_p06_15m_only,143,HBARUSDT,4h,Continuation,Bullish,2026-05-05T20:01:42.496464+00:00,guard_timeframe_4h,
qmid_p06_15m_only,144,1000PEPEUSDT,24h,Continuation,Bullish,2026-05-05T21:18:05.742088+00:00,guard_timeframe_24h,
qmid_p06_15m_only,145,ALGOUSDT,24h,Continuation,Bullish,2026-05-05T21:18:07.304378+00:00,guard_timeframe_24h,
qmid_p06_15m_only,146,ADAUSDT,24h,Continuation,Bullish,2026-05-05T23:20:30.215190+00:00,guard_timeframe_24h,
qmid_p06_15m_only,147,ZENUSDT,4h,Continuation,Bullish,2026-05-06T00:01:13.131488+00:00,guard_timeframe_4h,
qmid_p06_15m_only,148,PUMPUSDT,4h,Continuation,Bullish,2026-05-06T00:01:14.387127+00:00,guard_timeframe_4h,
qmid_p06_15m_only,151,AVAXUSDT,4h,Continuation,Bullish,2026-05-06T04:00:49.298585+00:00,guard_timeframe_4h,
qmid_p06_15m_only,152,WLDUSDT,4h,Continuation,Bullish,2026-05-06T04:00:50.505174+00:00,guard_timeframe_4h,
qmid_p06_15m_only,153,ASTERUSDT,4h,Continuation,Bullish,2026-05-06T04:00:50.667514+00:00,guard_timeframe_4h,
qmid_p06_15m_only,154,RIVERUSDT,4h,Continuation,Bearish,2026-05-06T04:00:52.824130+00:00,guard_timeframe_4h,
qmid_p06_15m_only,155,TONUSDT,24h,Continuation,Bullish,2026-05-06T04:16:08.139966+00:00,guard_timeframe_24h,
qmid_p06_15m_only,156,ZECUSDT,4h,Continuation,Bullish,2026-05-06T08:00:19.124999+00:00,guard_timeframe_4h,
qmid_p06_15m_only,157,1000BONKUSDT,4h,Continuation,Bullish,2026-05-06T08:00:22.311472+00:00,guard_timeframe_4h,
qmid_p06_15m_only,158,VIRTUALUSDT,24h,Continuation,Bullish,2026-05-06T08:46:17.560009+00:00,guard_timeframe_24h,
qmid_p06_15m_only,159,ETCUSDT,24h,Continuation,Bullish,2026-05-06T08:56:27.888871+00:00,guard_timeframe_24h,
qmid_p06_15m_only,160,SOLUSDT,24h,Continuation,Bullish,2026-05-06T12:00:06.443699+00:00,guard_timeframe_24h,
qmid_p06_15m_only,161,1000SHIBUSDT,4h,Continuation,Bullish,2026-05-06T12:00:09.040967+00:00,guard_timeframe_4h,
qmid_p06_15m_only,162,APTUSDT,4h,Continuation,Bullish,2026-05-06T12:00:09.892038+00:00,guard_timeframe_4h,
qmid_p06_15m_only,163,ICPUSDT,4h,Continuation,Bullish,2026-05-06T12:00:11.395164+00:00,guard_timeframe_4h,
qmid_p06_15m_only,164,BNBUSDT,24h,Continuation,Bullish,2026-05-06T14:38:17.818248+00:00,guard_timeframe_24h,
qmid_p06_15m_only,165,ONDOUSDT,24h,Continuation,Bullish,2026-05-06T15:19:03.220788+00:00,guard_timeframe_24h,
qmid_p06_15m_only,170,SAHARAUSDT,4h,Continuation,Bullish,2026-05-06T20:04:47.555506+00:00,guard_timeframe_4h,
qmid_p06_15m_only,172,OPUSDT,24h,Continuation,Bullish,2026-05-06T22:42:38.350104+00:00,guard_timeframe_24h,
qmid_p06_15m_only,173,ARBUSDT,4h,Continuation,Bullish,2026-05-07T01:56:05.691199+00:00,guard_timeframe_4h,
qmid_p06_15m_only,174,SOONUSDT,4h,Continuation,Bullish,2026-05-07T02:02:38.242231+00:00,guard_timeframe_4h,
qmid_p06_15m_only,175,INTCUSDT,24h,Continuation,Bullish,2026-05-07T02:02:39.077017+00:00,guard_timeframe_24h,
qmid_p06_15m_only,180,STXUSDT,4h,Continuation,Bullish,2026-05-07T03:15:55.162790+00:00,guard_timeframe_4h,
qmid_p06_15m_only,184,RIVERUSDT,4h,Continuation,Bullish,2026-05-07T08:03:48.663610+00:00,guard_timeframe_4h,
qmid_p06_15m_only,187,XAGUSDT,24h,Continuation,Bullish,2026-05-07T10:48:53.849876+00:00,guard_timeframe_24h,
