Symbol,Timeframe,Timestamp,Setup,Regime,Confidence,Bias,PnL_Pct,Result
ALGOUSDT,24h,2026-04-26 23:59:37.848919+00:00,Continuation,Trending,0.8634,Bullish,-0.7506,loss
QUSDT,15m,2026-04-25 08:56:44.653847+00:00,Continuation,Balanced,0.8131,Bullish,-1.3417,loss
1000PEPEUSDT,1h,2026-04-07 19:58:07.126140+00:00,Continuation,Balanced,0.8963,Bullish,2.1378,win
1000PEPEUSDT,1h,2026-04-11 21:56:14.669046+00:00,Continuation,Balanced,0.8307,Bullish,-1.6735,loss
1000PEPEUSDT,15m,2026-04-12 01:56:18.478981+00:00,Squeeze,Balanced,0.85,Bearish,-0.0747,loss
1000PEPEUSDT,15m,2026-04-15 22:43:12.392554+00:00,Continuation,Balanced,0.8574,Bullish,-0.8251,loss
1000PEPEUSDT,4h,2026-04-26 11:55:37.716802+00:00,Continuation,Balanced,0.9061,Bullish,-2.0948,loss
1000PEPEUSDT,4h,2026-04-27 03:57:34.172163+00:00,Continuation,Trending,0.9017,Bullish,-2.2772,loss
VIRTUALUSDT,4h,2026-04-13 23:59:59.999000+00:00,Continuation,Trending,0.8825,Bullish,-4.4101,loss
VIRTUALUSDT,4h,2026-04-16 15:59:03.950944+00:00,Continuation,Trending,0.8725,Bullish,1.555,win
VIRTUALUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.8779,Bullish,-2.7187,loss
RAYSOLUSDT,4h,2026-04-21 03:59:59.999000+00:00,Continuation,Trending,0.8659,Bullish,-1.0436,loss
RAYSOLUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.8977,Bullish,-2.6543,loss
ETCUSDT,4h,2026-04-17 15:59:59.999000+00:00,Continuation,Trending,0.8572,Bullish,-0.5131,loss
ONGUSDT,1h,2026-04-08 18:55:32.395365+00:00,Continuation,Balanced,0.494,Bearish,2.1176,win
WETUSDT,15m,2026-04-13 16:44:59.999000+00:00,Continuation,Trending,0.8592,Bullish,-2.2042,loss
WETUSDT,15m,2026-04-16 02:12:06.849860+00:00,Continuation,Balanced,0.8141,Bullish,1.2217,win
HOLOUSDT,4h,2026-04-08 11:59:59.999000+00:00,Continuation,Trending,0.8987,Bullish,-3.1102,loss
HOLOUSDT,4h,2026-04-09 19:59:59.999000+00:00,Continuation,Trending,0.8824,Bullish,-3.7608,loss
SLPUSDT,4h,2026-04-24 19:59:59.999000+00:00,Continuation,Trending,0.8904,Bullish,4.3156,win
WLDUSDT,1h,2026-04-10 15:57:41.707946+00:00,Continuation,Balanced,0.8632,Bullish,2.3537,win
WLDUSDT,1h,2026-04-13 01:57:14.016265+00:00,Continuation,Trending,0.8972,Bullish,-2.0708,loss
WLDUSDT,4h,2026-04-14 07:55:20.338849+00:00,Continuation,Trending,0.9314,Bullish,-4.9768,loss
WLDUSDT,15m,2026-04-16 07:58:55.102134+00:00,Continuation,Ranging,0.895,Bullish,-0.7118,loss
WLDUSDT,4h,2026-04-22 07:55:28.153997+00:00,Continuation,Balanced,0.8659,Bullish,-1.3128,loss
REDUSDT,15m,2026-04-23 07:44:59.999000+00:00,Continuation,Trending,0.8053,Bullish,-2.0619,loss
THETAUSDT,15m,2026-04-18 16:27:11.918682+00:00,Continuation,Balanced,0.8937,Bullish,-1.3137,loss
ESPUSDT,15m,2026-04-26 03:57:19.044876+00:00,Continuation,Balanced,0.466,Bearish,-0.3475,loss
1000LUNCUSDT,4h,2026-04-23 19:59:59.999000+00:00,Continuation,Trending,0.8658,Bullish,6.4693,win
1000LUNCUSDT,4h,2026-04-26 19:59:59.999000+00:00,Continuation,Trending,0.8807,Bullish,6.9949,win
LINEAUSDT,4h,2026-04-24 19:59:59.999000+00:00,Continuation,Trending,0.8648,Bullish,1.5305,win
LINEAUSDT,4h,2026-04-25 11:59:59.999000+00:00,Continuation,Trending,0.8923,Bullish,0.154,loss
TACUSDT,15m,2026-04-24 09:40:43.464314+00:00,Continuation,Balanced,0.8407,Bullish,-0.1253,loss
TACUSDT,15m,2026-04-29 08:29:27.058746+00:00,Continuation,Balanced,0.8275,Bullish,3.2523,win
HYPERUSDT,15m,2026-04-25 21:59:59.999000+00:00,Continuation,Trending,0.8794,Bullish,-0.2717,loss
HYPERUSDT,1h,2026-04-29 00:58:01.772927+00:00,Continuation,Balanced,0.8631,Bullish,-1.5362,loss
MYXUSDT,15m,2026-04-15 10:59:47.726371+00:00,Continuation,Trending,0.7931,Bullish,1.4001,win
MYXUSDT,4h,2026-04-24 03:59:59.999000+00:00,Continuation,Trending,0.8609,Bullish,-5.8211,loss
FARTCOINUSDT,15m,2026-04-05 20:40:27.025043+00:00,Continuation,Ranging,0.8764,Bullish,-0.5557,loss
FARTCOINUSDT,15m,2026-04-06 08:42:52.265210+00:00,Continuation,Ranging,0.8781,Bullish,-0.723,loss
FARTCOINUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.8818,Bullish,-4.898,loss
FARTCOINUSDT,1h,2026-04-07 15:58:29.280560+00:00,Continuation,Balanced,0.8588,Bullish,2.7676,win
FARTCOINUSDT,4h,2026-04-16 07:58:55.102134+00:00,Continuation,Trending,0.9071,Bullish,3.1251,win
FARTCOINUSDT,4h,2026-04-27 03:57:34.172163+00:00,Continuation,Trending,0.9004,Bullish,-3.1431,loss
FETUSDT,15m,2026-04-05 20:40:27.025043+00:00,Continuation,Ranging,0.8501,Bullish,-0.6431,loss
FETUSDT,15m,2026-04-13 19:25:49.250740+00:00,Continuation,Ranging,0.7965,Bullish,-0.5662,loss
TIAUSDT,4h,2026-04-15 11:59:59.999000+00:00,Continuation,Trending,0.8897,Bullish,1.6666,win
TIAUSDT,4h,2026-04-16 07:59:59.999000+00:00,Continuation,Trending,0.9019,Bullish,5.3734,win
TIAUSDT,1h,2026-04-19 06:55:50.584207+00:00,Continuation,Balanced,0.8462,Bullish,-1.5004,loss
TIAUSDT,15m,2026-04-21 10:13:33.947027+00:00,Continuation,Ranging,0.8732,Bullish,-0.4304,loss
SPACEUSDT,4h,2026-04-26 11:59:59.999000+00:00,Continuation,Trending,0.8821,Bullish,-6.3997,loss
SPACEUSDT,1h,2026-04-26 20:59:59.999000+00:00,Continuation,Trending,0.8821,Bullish,-5.3208,loss
SPACEUSDT,15m,2026-04-27 19:10:40.157332+00:00,Continuation,Ranging,0.8609,Bullish,1.0777,win
MINAUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.878,Bullish,-1.3184,loss
MINAUSDT,15m,2026-04-28 13:29:32.842533+00:00,Continuation,Ranging,0.8294,Bullish,-0.3928,loss
DOTUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.903,Bullish,-2.7882,loss
DOTUSDT,15m,2026-04-13 15:56:10.092114+00:00,Continuation,Ranging,0.4549,Bearish,-0.7151,loss
DOTUSDT,15m,2026-04-17 12:55:51.485455+00:00,Continuation,Ranging,0.8653,Bullish,1.1115,win
DOTUSDT,4h,2026-04-23 19:59:44.649532+00:00,Continuation,Balanced,0.4692,Bearish,-1.3915,loss
RENDERUSDT,4h,2026-04-11 19:59:59.999000+00:00,Continuation,Trending,0.8922,Bullish,-3.4702,loss
PORTALUSDT,15m,2026-04-20 22:10:47.105858+00:00,Continuation,Balanced,0.8195,Bullish,0.8688,win
MSTRUSDT,4h,2026-04-14 07:55:20.338849+00:00,Continuation,Balanced,0.8724,Bullish,3.4002,win
NAORISUSDT,4h,2026-04-26 19:59:59.999000+00:00,Continuation,Trending,0.8711,Bullish,3.5827,win
MASKUSDT,24h,2026-04-23 08:22:28.319461+00:00,Continuation,Trending,0.8946,Bullish,10.1631,win
MASKUSDT,1h,2026-04-28 07:59:54.023104+00:00,Continuation,Balanced,0.8582,Bullish,-1.6716,loss
KATUSDT,15m,2026-04-25 07:40:22.765510+00:00,Continuation,Trending,0.857,Bullish,-3.5612,loss
KATUSDT,15m,2026-04-28 19:11:40.551423+00:00,Continuation,Balanced,0.8094,Bullish,-1.0217,loss
MOVRUSDT,15m,2026-04-25 23:12:16.377462+00:00,Continuation,Balanced,0.8685,Bullish,-2.0372,loss
ARIAUSDT,1h,2026-04-07 12:54:51.737907+00:00,Continuation,Trending,0.502,Bearish,2.4442,win
PIEVERSEUSDT,15m,2026-04-21 05:13:06.256524+00:00,Continuation,Trending,0.8173,Bullish,1.8468,win
INXUSDT,4h,2026-04-12 11:59:59.999000+00:00,Continuation,Trending,0.8803,Bullish,6.1286,win
INXUSDT,15m,2026-04-15 23:13:45.464519+00:00,Continuation,Balanced,0.8612,Bullish,-0.7362,loss
INXUSDT,1h,2026-04-16 16:55:22.256810+00:00,Continuation,Balanced,0.4892,Bearish,-2.018,loss
NEARUSDT,15m,2026-04-10 01:44:24.801299+00:00,Continuation,Balanced,0.8042,Bullish,-0.6254,loss
NEARUSDT,1h,2026-04-18 06:57:05.583463+00:00,Continuation,Balanced,0.8486,Bullish,-1.1645,loss
SAFEUSDT,4h,2026-04-21 03:59:59.999000+00:00,Continuation,Trending,0.9012,Bullish,-0.8181,loss
SAFEUSDT,4h,2026-04-25 03:59:59.999000+00:00,Continuation,Trending,0.8762,Bullish,6.1992,win
OPENUSDT,4h,2026-04-22 03:59:59.999000+00:00,Continuation,Trending,0.9001,Bullish,-1.8998,loss
OPENUSDT,15m,2026-04-28 22:55:48.294758+00:00,Continuation,Balanced,0.7845,Bullish,-0.8765,loss
OPENUSDT,15m,2026-04-28 23:26:20.649056+00:00,Continuation,Balanced,0.8383,Bullish,0.4947,win
HYPEUSDT,1h,2026-04-08 07:57:26.669608+00:00,Continuation,Balanced,0.9067,Bullish,-0.1926,loss
HYPEUSDT,1h,2026-04-13 16:57:21.952368+00:00,Continuation,Balanced,0.9133,Bullish,1.2357,win
HYPEUSDT,1h,2026-04-22 02:57:37.826873+00:00,Continuation,Balanced,0.8589,Bullish,1.4911,win
ZBTUSDT,1h,2026-04-23 11:59:59.999000+00:00,Continuation,Trending,0.8674,Bullish,6.3354,win
ZBTUSDT,4h,2026-04-24 03:59:59.999000+00:00,Continuation,Trending,0.9043,Bullish,9.1211,win
SAPIENUSDT,1h,2026-04-25 11:59:59.999000+00:00,Continuation,Trending,0.878,Bullish,7.1426,win
TURBOUSDT,1h,2026-04-18 18:59:48.924133+00:00,Continuation,Balanced,0.4973,Bearish,1.0211,win
PHBUSDT,15m,2026-04-19 23:26:23.208449+00:00,Continuation,Trending,0.7999,Bullish,-2.8294,loss
PHBUSDT,15m,2026-04-22 03:12:54.160871+00:00,Continuation,Balanced,0.8287,Bullish,-0.7776,loss
PIPPINUSDT,1h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.5077,Bearish,-3.1502,loss
PIPPINUSDT,4h,2026-04-11 03:57:51.901254+00:00,Continuation,Trending,0.8321,Bearish,-0.694,loss
PIPPINUSDT,4h,2026-04-12 19:59:42.630988+00:00,Continuation,Trending,0.9084,Bearish,3.5946,win
PIPPINUSDT,4h,2026-04-24 19:59:59.999000+00:00,Continuation,Trending,0.8839,Bullish,2.9778,win
PIPPINUSDT,15m,2026-04-29 07:42:42.531622+00:00,Continuation,Ranging,0.8147,Bullish,0.3551,win
BROCCOLI714USDT,1h,2026-04-28 18:59:59.999000+00:00,Continuation,Trending,0.8952,Bullish,8.3437,win
HOODUSDT,4h,2026-04-23 15:59:59.999000+00:00,Continuation,Trending,0.4889,Bearish,1.5424,win
UNIUSDT,1h,2026-04-16 15:59:03.950944+00:00,Continuation,Trending,0.8936,Bullish,-1.5055,loss
UNIUSDT,4h,2026-04-22 07:55:28.153997+00:00,Continuation,Trending,0.8888,Bullish,-2.1553,loss
XPLUSDT,4h,2026-04-16 19:59:21.500080+00:00,Continuation,Trending,0.8616,Bullish,-4.528,loss
TONUSDT,4h,2026-04-11 07:59:59.999000+00:00,Continuation,Trending,0.8926,Bullish,1.8577,win
TONUSDT,15m,2026-04-17 04:14:29.481983+00:00,Continuation,Ranging,0.824,Bullish,-0.4991,loss
VETUSDT,4h,2026-04-18 11:57:34.579849+00:00,Continuation,Trending,0.8662,Bearish,0.0291,open
STRKUSDT,4h,2026-04-22 15:59:44.830524+00:00,Continuation,Trending,0.8558,Bullish,2.4842,win
