Symbol,Timeframe,Timestamp,Setup,Regime,Confidence,Bias,PnL_Pct,Result
ZROUSDT,1h,2026-04-27 12:57:08.839885+00:00,Continuation,Balanced,0.4877,Bearish,0.8118,win
OPUSDT,4h,2026-04-15 15:59:59.999000+00:00,Continuation,Trending,0.8593,Bullish,2.0042,win
SOMIUSDT,1h,2026-04-25 11:59:59.999000+00:00,Continuation,Balanced,0.8944,Bullish,0.4802,win
SOMIUSDT,15m,2026-04-27 21:28:17.427353+00:00,Continuation,Ranging,0.8398,Bullish,-0.4092,loss
HBARUSDT,15m,2026-04-16 15:43:45.961126+00:00,Continuation,Ranging,0.8746,Bullish,-0.2945,loss
AVAXUSDT,1h,2026-04-11 18:57:15.785070+00:00,Continuation,Balanced,0.9037,Bullish,0.4436,win
XRPUSDT,24h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.8808,Bullish,-1.3705,loss
BLURUSDT,15m,2026-04-19 14:11:16.889975+00:00,Continuation,Balanced,0.8474,Bullish,3.6474,win
BLURUSDT,1h,2026-04-22 19:58:52.579286+00:00,Continuation,Trending,0.8794,Bullish,-3.5539,loss
1000FLOKIUSDT,1h,2026-04-22 14:59:59.999000+00:00,Continuation,Balanced,0.8569,Bullish,-0.7143,loss
1000FLOKIUSDT,15m,2026-04-23 05:14:59.999000+00:00,Continuation,Balanced,0.8191,Bullish,1.4072,win
1000FLOKIUSDT,1h,2026-04-23 14:59:59.999000+00:00,Continuation,Balanced,0.8872,Bullish,-2.3365,loss
我踏马来了USDT,15m,2026-04-07 08:29:54.510201+00:00,Continuation,Ranging,0.8743,Bullish,-0.0756,loss
我踏马来了USDT,4h,2026-04-08 07:57:26.669608+00:00,Continuation,Trending,0.8813,Bullish,8.9785,win
我踏马来了USDT,4h,2026-04-10 23:57:47.299843+00:00,Continuation,Trending,0.8773,Bullish,0.2081,loss
SUIUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.8947,Bullish,-3.4636,loss
SUIUSDT,4h,2026-04-13 23:56:29.181229+00:00,Continuation,Trending,0.8626,Bullish,-1.6447,loss
SUIUSDT,4h,2026-04-16 03:59:07.940381+00:00,Continuation,Balanced,0.871,Bullish,1.2471,win
ADAUSDT,24h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.8597,Bullish,-3.6518,loss
ADAUSDT,15m,2026-04-25 11:44:49.187391+00:00,Continuation,Ranging,0.8353,Bearish,-0.0397,loss
TAOUSDT,1h,2026-04-14 18:57:32.486531+00:00,Continuation,Balanced,0.4788,Bearish,-1.696,loss
NOMUSDT,4h,2026-04-21 07:56:00.174031+00:00,Continuation,Trending,0.8792,Bullish,-5.2148,loss
NOMUSDT,15m,2026-04-29 17:44:59.999000+00:00,Continuation,Trending,0.8353,Bullish,-3.0557,loss
NOMUSDT,15m,2026-04-29 19:29:59.999000+00:00,Continuation,Trending,0.8358,Bullish,1.4135,win
1000SHIBUSDT,24h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.9079,Bullish,-5.9845,loss
1000SHIBUSDT,15m,2026-04-22 14:28:07.713647+00:00,Continuation,Ranging,0.8316,Bullish,0.1854,win
1000SHIBUSDT,15m,2026-04-30 06:43:15.104600+00:00,Continuation,Ranging,0.8072,Bullish,0.7994,win
1000BONKUSDT,4h,2026-04-09 19:57:03.788087+00:00,Continuation,Trending,0.8608,Bullish,-1.3292,loss
1000BONKUSDT,15m,2026-04-17 07:41:30.197636+00:00,Continuation,Ranging,0.8084,Bullish,0.9806,win
1000BONKUSDT,15m,2026-04-28 08:25:22.009748+00:00,Continuation,Ranging,0.8141,Bullish,-0.113,loss
CROSSUSDT,4h,2026-04-25 11:59:59.999000+00:00,Continuation,Trending,0.8755,Bullish,3.0618,win
CROSSUSDT,15m,2026-04-25 20:44:59.999000+00:00,Continuation,Balanced,0.8663,Bullish,-1.0809,loss
YGGUSDT,15m,2026-04-25 18:44:59.999000+00:00,Continuation,Balanced,0.8254,Bullish,0.6531,win
YGGUSDT,15m,2026-04-25 23:14:59.999000+00:00,Continuation,Balanced,0.8466,Bullish,-1.2277,loss
QTUMUSDT,4h,2026-04-19 07:57:01.510064+00:00,Continuation,Trending,0.4394,Bearish,-0.2579,loss
ENJUSDT,15m,2026-04-26 00:59:12.278126+00:00,Continuation,Balanced,0.837,Bullish,-0.9653,loss
SIRENUSDT,15m,2026-04-06 06:40:30.230888+00:00,Continuation,Trending,0.4405,Bearish,-4.2719,loss
BCHUSDT,4h,2026-04-17 15:58:44.428431+00:00,Continuation,Balanced,0.8923,Bullish,-2.0962,loss
BCHUSDT,24h,2026-04-22 23:58:03.463659+00:00,Continuation,Trending,0.8503,Bullish,-1.224,loss
ONDOUSDT,4h,2026-04-26 11:59:59.999000+00:00,Continuation,Trending,0.8921,Bullish,-2.3392,loss
BOMEUSDT,4h,2026-04-22 11:55:21.102674+00:00,Continuation,Trending,0.8597,Bullish,-6.8354,loss
CLUSDT,15m,2026-04-07 10:57:42.648157+00:00,Continuation,Balanced,0.7892,Bullish,0.8342,win
GALAUSDT,15m,2026-04-16 15:28:28.100064+00:00,Continuation,Balanced,0.8754,Bullish,2.9973,win
GALAUSDT,4h,2026-04-24 11:59:47.962794+00:00,Continuation,Trending,0.8874,Bullish,4.4405,win
GALAUSDT,4h,2026-04-25 03:56:27.323074+00:00,Continuation,Trending,0.9131,Bullish,-3.5403,loss
ZECUSDT,1h,2026-04-07 04:55:50.210198+00:00,Continuation,Trending,0.8849,Bullish,1.1843,win
ZECUSDT,4h,2026-04-21 11:55:16.329497+00:00,Continuation,Trending,0.8582,Bullish,-4.38,loss
LDOUSDT,4h,2026-04-14 03:59:59.999000+00:00,Continuation,Trending,0.9026,Bullish,2.111,win
LDOUSDT,4h,2026-04-15 15:55:23.878066+00:00,Continuation,Trending,0.9013,Bullish,7.9599,win
LDOUSDT,4h,2026-04-16 19:59:59.999000+00:00,Continuation,Trending,0.8919,Bullish,-5.7266,loss
LDOUSDT,1h,2026-04-18 23:54:57.462771+00:00,Continuation,Balanced,0.5104,Bearish,0.8104,win
RIVERUSDT,1h,2026-04-13 12:57:02.342941+00:00,Continuation,Trending,0.5003,Bearish,5.8086,win
RIVERUSDT,1h,2026-04-15 07:56:32.291375+00:00,Continuation,Trending,0.8968,Bearish,-2.7626,loss
RIVERUSDT,15m,2026-04-20 14:42:34.541982+00:00,Continuation,Balanced,0.8021,Bullish,3.2182,win
RIVERUSDT,15m,2026-04-21 23:43:58.082840+00:00,Continuation,Balanced,0.7943,Bullish,0.6253,win
KITEUSDT,1h,2026-04-10 18:56:30.759336+00:00,Continuation,Balanced,0.8529,Bullish,-2.5582,loss
KITEUSDT,1h,2026-04-13 11:55:32.356032+00:00,Continuation,Trending,0.8654,Bullish,-0.1835,loss
KITEUSDT,4h,2026-04-27 03:59:59.999000+00:00,Continuation,Trending,0.8774,Bullish,-4.9689,loss
ORCAUSDT,15m,2026-04-28 08:55:56.588794+00:00,Continuation,Balanced,0.877,Bullish,-0.1935,loss
XLMUSDT,4h,2026-04-20 19:59:59.999000+00:00,Continuation,Trending,0.8863,Bullish,4.3089,win
XLMUSDT,15m,2026-04-23 06:40:49.819716+00:00,Continuation,Ranging,0.8853,Bullish,-0.0621,loss
XLMUSDT,1h,2026-04-26 11:55:37.716802+00:00,Continuation,Ranging,0.8581,Bullish,-0.1508,loss
EDGEUSDT,15m,2026-04-08 03:27:03.587110+00:00,Continuation,Balanced,0.8704,Bullish,2.5504,win
EDGEUSDT,15m,2026-04-22 03:58:41.377898+00:00,Continuation,Balanced,0.8649,Bullish,2.0357,win
CLOUSDT,15m,2026-04-21 23:14:59.999000+00:00,Continuation,Balanced,0.7944,Bullish,0.9057,win
BASEDUSDT,15m,2026-04-10 09:13:56.356313+00:00,Continuation,Balanced,0.801,Bullish,-0.9668,loss
BASEDUSDT,15m,2026-04-12 20:40:29.501832+00:00,Continuation,Balanced,0.8262,Bullish,-0.8367,loss
TURTLEUSDT,4h,2026-04-27 11:59:59.999000+00:00,Continuation,Trending,0.875,Bullish,2.5013,win
LIGHTUSDT,1h,2026-04-20 23:57:39.152752+00:00,Continuation,Balanced,0.886,Bullish,2.521,win
CHIPUSDT,15m,2026-04-22 00:14:59.999000+00:00,Continuation,Trending,0.8964,Bullish,-6.7045,loss
BULLAUSDT,15m,2026-04-05 22:59:59.999000+00:00,Continuation,Trending,0.8576,Bullish,-0.0851,loss
APEUSDT,15m,2026-04-18 23:14:13.311824+00:00,Continuation,Balanced,0.8531,Bullish,-0.5539,loss
APEUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.8657,Bullish,-3.9221,loss
APEUSDT,1h,2026-04-28 00:57:12.729218+00:00,Continuation,Balanced,0.8691,Bullish,-2.6749,loss
FILUSDT,4h,2026-04-16 03:59:07.940381+00:00,Continuation,Trending,0.9296,Bullish,1.4004,win
GIGGLEUSDT,15m,2026-04-11 10:26:14.803795+00:00,Continuation,Balanced,0.7999,Bullish,0.6715,win
GIGGLEUSDT,15m,2026-04-12 15:44:18.439893+00:00,Continuation,Balanced,0.8403,Bullish,-1.2856,loss
GIGGLEUSDT,15m,2026-04-14 06:13:32.441076+00:00,Continuation,Balanced,0.8597,Bullish,1.2292,win
GIGGLEUSDT,15m,2026-04-27 11:40:42.903960+00:00,Continuation,Balanced,0.861,Bullish,-0.1814,loss
IPUSDT,15m,2026-04-21 05:43:45.186165+00:00,Continuation,Balanced,0.8787,Bullish,-0.8235,loss
IPUSDT,4h,2026-04-22 19:59:59.999000+00:00,Continuation,Trending,0.8929,Bullish,-3.6972,loss
IPUSDT,15m,2026-04-26 16:28:31.162347+00:00,Continuation,Ranging,0.8617,Bullish,0.8299,win
COMPUSDT,1h,2026-04-17 23:56:41.953640+00:00,Continuation,Balanced,0.9075,Bullish,3.5125,win
SOONUSDT,15m,2026-04-20 11:44:22.819123+00:00,Continuation,Balanced,0.8094,Bullish,0.5683,win
SOONUSDT,15m,2026-04-22 18:57:48.173231+00:00,Continuation,Ranging,0.8413,Bullish,-0.6199,loss
SOONUSDT,15m,2026-04-23 10:42:36.268692+00:00,Continuation,Balanced,0.883,Bullish,0.5512,win
SOONUSDT,15m,2026-04-26 11:55:37.716802+00:00,Continuation,Balanced,0.8525,Bullish,-1.0269,loss
LINKUSDT,1h,2026-04-16 17:56:47.130198+00:00,Continuation,Balanced,0.873,Bullish,0.7783,win
LINKUSDT,24h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.8942,Bullish,-2.0835,loss
LINKUSDT,1h,2026-04-23 01:59:59.999000+00:00,Continuation,Balanced,0.4142,Bearish,-0.0866,loss
DASHUSDT,4h,2026-04-10 07:59:59.999000+00:00,Continuation,Trending,0.8704,Bullish,3.1816,win
DASHUSDT,4h,2026-04-21 11:59:59.999000+00:00,Continuation,Trending,0.8573,Bullish,3.2627,win
DASHUSDT,1h,2026-04-23 13:56:04.686202+00:00,Continuation,Balanced,0.8549,Bullish,-0.3363,loss
SANDUSDT,4h,2026-04-18 11:57:34.579849+00:00,Continuation,Trending,0.8449,Bearish,2.7512,win
SANDUSDT,4h,2026-04-24 19:59:59.999000+00:00,Continuation,Trending,0.8557,Bullish,4.4939,win
INJUSDT,4h,2026-04-13 23:59:59.999000+00:00,Continuation,Trending,0.8751,Bullish,-1.7676,loss
INJUSDT,4h,2026-04-15 15:59:59.999000+00:00,Continuation,Balanced,0.8864,Bullish,4.0315,win
INJUSDT,4h,2026-04-16 03:59:59.999000+00:00,Continuation,Trending,0.8601,Bullish,1.9055,win
INJUSDT,4h,2026-04-25 15:59:26.047331+00:00,Continuation,Trending,0.9103,Bullish,4.857,win
INJUSDT,15m,2026-04-26 15:26:41.439582+00:00,Continuation,Balanced,0.8498,Bullish,-0.1451,loss
ROSEUSDT,1h,2026-04-17 16:59:48.418007+00:00,Continuation,Balanced,0.9042,Bullish,-0.3322,loss
ZEREBROUSDT,15m,2026-04-21 23:14:59.999000+00:00,Continuation,Trending,0.824,Bullish,4.246,win
ZEREBROUSDT,1h,2026-04-29 17:59:59.999000+00:00,Continuation,Trending,0.9029,Bullish,11.4018,win
ZKPUSDT,4h,2026-04-28 15:59:59.999000+00:00,Continuation,Trending,0.8694,Bullish,9.4951,win
METUSDT,15m,2026-04-22 10:12:54.710473+00:00,Continuation,Balanced,0.8382,Bullish,-2.1523,loss
GENIUSUSDT,15m,2026-04-27 04:58:39.847155+00:00,Continuation,Ranging,0.802,Bullish,-0.6345,loss
RAVEUSDT,4h,2026-04-08 11:59:59.999000+00:00,Continuation,Trending,0.9014,Bullish,11.384,win
RAVEUSDT,15m,2026-04-22 09:57:37.141105+00:00,Continuation,Trending,0.798,Bullish,-2.7946,loss
RAVEUSDT,15m,2026-04-24 08:14:16.909762+00:00,Continuation,Trending,0.8149,Bullish,-2.8591,loss
PENGUUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.8804,Bullish,-3.7955,loss
PENGUUSDT,15m,2026-04-08 21:13:18.119360+00:00,Continuation,Ranging,0.8236,Bullish,-0.3293,loss
PENGUUSDT,4h,2026-04-14 11:59:41.857830+00:00,Continuation,Trending,0.9041,Bullish,-3.6455,loss
PENGUUSDT,15m,2026-04-17 07:41:30.197636+00:00,Continuation,Ranging,0.8402,Bullish,1.109,win
