bucket,strategy,entry_time,exit_time,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,result,close_reason,r_multiple,allocated_r,pnl_pct,confidence,flow_alignment,structure_strength,clarity_confidence,volume_z_15m,oi_delta_z_15m,market_pressure_4h,entry_type,token_intent_state,token_intent_positioning_side,token_intent_entry_permission,token_intent_entry_quality,token_intent_crowding_score,token_intent_distribution_score,token_intent_failed_pullback_score
added_by_fix,v2_continuation_15m_4h_bullish_april_fix,2026-05-05T17:44:11.276018+00:00,2026-05-05T18:55:30.661590+00:00,TONUSDT,15m,Continuation,Bullish,Trending,Medium,loss,Fail-Fast Exit,-0.24664303,-0.1134558,-0.44357892,0.827,0.6582,0.85,0.827,0.30019224,2.90218386,-0.48348554,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
added_by_fix,v2_continuation_15m_4h_bullish_april_fix,2026-05-05T15:57:04.871242+00:00,2026-05-06T11:55:01.116463+00:00,ENAUSDT,4h,Continuation,Bullish,Trending,High,win,Target 2,1.495,0.4857255,6.42770682,0.84,0.8557,0.85,0.84,0.38547576,-0.82358866,0.21894443,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
