strategy,entry_time,exit_time,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,result,close_reason,r_multiple,allocated_r,pnl_pct,entry_price,stop_loss,target_price_1,target_price_2,confidence,flow_alignment,structure_strength,clarity_confidence,volume_z_15m,oi_delta_z_15m,market_pressure_4h,entry_type
v2_balanced_continuation_only,2026-05-03T16:43:35.810980+00:00,2026-05-03T18:41:05.819067+00:00,1000LUNCUSDT,15m,Continuation,Bearish,Balanced,High,win,Target 2,1.495,0.931684,1.88188458,0.08435,0.0854117857142857,0.08329883214285715,0.08222642857142858,0.8675,0.873,0.85,0.8675,1.1112401154118243,0.5532231678278207,-0.3952659015902493,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T11:55:01.116463+00:00,2026-05-06T15:59:43.873392+00:00,1000SHIBUSDT,4h,Continuation,Bullish,Balanced,High,loss,Invalidation,-1.0,-1.2825,-1.93770751,0.006497,0.006371107142857144,0.006621633928571428,0.006748785714285713,0.9075,0.9813,1.0,0.9075,-0.46015968926871226,-1.1561505095724591,0.5548338081276725,Continuation Pullback
v2_balanced_continuation_only,2026-05-01T09:58:06.401301+00:00,2026-05-01T12:56:36.487155+00:00,AAVEUSDT,1h,Continuation,Bearish,Balanced,Low,loss,Invalidation,-1.0,-1.0148,-0.80415246,92.2,92.94142857142857,91.3696,90.71714285714286,0.4048,0.8916,0.85,0.4048,0.6194647291810848,1.4796148946433925,0.06810192743943916,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T21:26:09.590813+00:00,2026-05-06T23:13:08.331178+00:00,AIGENSYNUSDT,15m,Continuation,Bearish,Balanced,High,win,Target 2,1.495,0.799526,1.50088978,0.03191,0.032230357142857144,0.03159284642857143,0.031269285714285715,0.8443,0.7341,0.85,0.8443,0.628763344323987,-0.5683047180549401,-0.017420775734230055,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T00:42:00.336842+00:00,2026-05-06T01:12:32.329769+00:00,AIOTUSDT,15m,Continuation,Bearish,Balanced,High,loss,Invalidation,-1.0,-0.4708,-2.33353924,0.08788,0.08993071428571428,0.08584979285714286,0.08377857142857144,0.7061,0.7233,0.85,0.7061,0.9749120851504784,2.800972148330076,-0.7689907910930617,Continuation Pullback
v2_balanced_continuation_only,2026-05-02T19:59:59.999000+00:00,2026-05-03T03:59:59.999000+00:00,AKTUSDT,4h,Continuation,Bullish,Trending,High,win,Partial TP1,0.495,0.317394,2.32044913,0.5661,0.5395625000000001,0.592372125,0.619175,0.9025,0.942,1.0,0.9025,,,0.707782288110526,Continuation Pullback
v2_balanced_continuation_only,2026-05-03T07:59:59.999000+00:00,2026-05-03T11:59:59.999000+00:00,AKTUSDT,4h,Continuation,Bullish,Trending,High,win,Partial TP1,0.545,0.6989625,2.993176,0.6194,0.5853821428571427,0.6564794642857144,0.6874357142857144,0.9001,0.9432,1.0,0.9001,-0.8350313211528506,-0.2025398224682441,0.5213543624080782,Continuation Pullback
v2_balanced_continuation_only,2026-05-03T12:59:59.999000+00:00,2026-05-03T16:59:59.999000+00:00,AKTUSDT,1h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.46924866,-0.60040366,-3.2183554,0.6494,0.6048607142857143,0.6934938928571428,0.7384785714285713,0.9107,0.9832,0.85,0.9107,-0.7958536611306409,-2.2856714739842587,0.6884895375848569,Continuation Pullback
v2_balanced_continuation_only,2026-04-30T16:43:34.403083+00:00,2026-04-30T18:25:22.677645+00:00,APEUSDT,15m,Continuation,Bullish,Balanced,High,win,Partial TP1,0.495,0.2915055,0.79032295,0.1577,0.15518214285714288,0.16019267857142858,0.16273571428571426,0.8443,0.8093,0.85,0.8443,4.3308077834870895,0.8078265962105134,0.0,Continuation Pullback
v2_balanced_continuation_only,2026-05-01T02:29:25.406291+00:00,2026-05-01T03:40:48.902368+00:00,API3USDT,15m,Continuation,Bullish,Balanced,High,loss,Fail-Fast Exit,-0.53846154,-0.33906923,-1.16550117,0.3861,0.37774285714285716,0.39437357142857143,0.4028142857142857,0.8814,0.9185,0.85,0.8814,1.004226645806606,2.195729621160043,-0.3449411680633908,Continuation Pullback
v2_balanced_continuation_only,2026-05-05T18:14:44.161501+00:00,2026-05-05T18:25:00.610686+00:00,APTUSDT,15m,Continuation,Bullish,Ranging,Medium,loss,Invalidation,-1.0,-0.4562,-0.49882329,0.9773,0.972425,0.9825162499999999,0.9870499999999999,0.8133,0.6538,0.85,0.8133,0.5974957153846104,0.14737392991040726,-0.6178563034783962,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T11:55:01.116463+00:00,2026-05-07T03:59:59.999000+00:00,APTUSDT,4h,Continuation,Bullish,Trending,High,loss,Invalidation,-1.0,-1.2825,-3.52339322,1.0409,1.004225,1.07720825,1.11425,0.9035,0.9482,1.0,0.9035,-0.8550446291575486,-0.7016024193186124,0.48419526486691006,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T15:29:12.604206+00:00,2026-05-06T15:44:28.944412+00:00,ARBUSDT,15m,Continuation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.4375,-0.88925981,0.1241,0.12299642857142858,0.1251925357142857,0.12630714285714284,0.8078,0.6607,0.85,0.8078,0.5702266024132103,1.6038490309425382,0.40732559612464014,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T07:59:59.999000+00:00,2026-05-06T15:59:59.999000+00:00,ARKMUSDT,4h,Continuation,Bullish,Trending,High,loss,Invalidation,-1.0,-0.6412,-5.24146367,0.1343,0.12726071428571428,0.14126889285714286,0.14837857142857144,0.9015,0.9402,1.0,0.9015,,,0.4358804128494497,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T09:29:59.999000+00:00,2026-05-06T11:14:59.999000+00:00,ARUSDT,15m,Continuation,Bullish,Trending,Medium,loss,Fail-Fast Exit,-0.13063764,-0.06887216,-0.35685964,2.522,2.4531071428571427,2.595715357142857,2.659785714285714,0.867,0.6836,0.85,0.867,0.21332472877418018,0.9096379855572417,0.5315793524752798,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T07:14:32.445881+00:00,2026-05-06T09:57:39.732057+00:00,ASTERUSDT,15m,Continuation,Bullish,Ranging,Medium,win,Target 2,1.535,1.850289,0.60894869,0.6833,0.6805892857142858,0.6862004642857142,0.6887214285714285,0.8891,0.7823,0.85,0.8891,0.5590077221451936,1.6035844508369288,0.3171365950903089,Continuation Pullback
v2_balanced_continuation_only,2026-05-06T03:55:43.155623+00:00,2026-05-06T08:56:25.395286+00:00,AVAXUSDT,1h,Continuation,Bullish,Balanced,Low,win,Partial TP1,0.56,0.6804,0.51797659,9.568,9.4795,9.667119999999999,9.745,0.906,0.9659,1.0,0.906,2.3250569733158786,-0.5240775435792357,0.48022641930184995,Continuation Pullback
v2_balanced_continuation_only,2026-05-01T19:59:59.999000+00:00,2026-05-02T11:59:59.999000+00:00,AXLUSDT,4h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.30985915,-0.19285634,-2.23156064,0.06901,0.06404000000000001,0.07393029999999999,0.07894999999999998,0.8674,0.8668,0.85,0.8674,,,0.68697015962076,Continuation Pullback
v2_balanced_continuation_only,2026-05-03T04:58:54.136852+00:00,2026-05-03T09:54:59.721134+00:00,AXSUSDT,1h,Continuation,Bearish,Balanced,Medium,loss,Fail-Fast Exit,-0.07588076,-0.04341138,-0.07446016,1.343,1.3561785714285715,1.3288989285714286,1.316642857142857,0.4941,0.9067,0.85,0.4941,5.117116466748003,1.1962639520749285,-0.3987798982074739,Continuation Pullback
v2_balanced_continuation_only,2026-05-02T07:59:59.999000+00:00,2026-05-02T11:59:59.999000+00:00,BABYUSDT,4h,Continuation,Bullish,Trending,High,win,Partial TP1,0.495,0.6157305,2.51560624,0.01666,0.015813333333333335,0.0174982,0.018353333333333333,0.8558,0.8705,0.85,0.8558,,,0.6878505850426722,Continuation Pullback
v2_balanced_continuation_only,2026-05-01T09:58:06.401301+00:00,2026-05-01T10:28:43.970881+00:00,BIOUSDT,15m,Continuation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.8477,-1.54141744,0.04108,0.04044678571428571,0.04170688214285714,0.04234642857142857,0.8303,0.6369,0.85,0.8303,0.0,0.7895261341455432,-0.3332285649258481,Continuation Pullback
v2_balanced_continuation_only,2026-05-05T20:27:05.493051+00:00,2026-05-05T21:28:16.735087+00:00,BRUSDT,15m,Continuation,Bearish,Balanced,High,loss,Fail-Fast Exit,-0.07975009,-0.03291286,-0.16961208,0.18277,0.18665714285714285,0.17892172857142855,0.17499571428571425,0.4803,0.6504,0.85,0.4803,-0.5371298270018758,2.7533489684407093,-0.2857919278832129,Continuation Pullback
v2_balanced_continuation_only,2026-05-01T03:40:48.902368+00:00,2026-05-01T03:56:04.025930+00:00,BSBUSDT,15m,Continuation,Bearish,Trending,High,win,Partial TP1,0.495,0.207603,1.67259678,0.59349,0.6135439285714285,0.5736366107142857,0.5533821428571429,0.7053,0.6409,0.85,0.7053,-0.6744907594765924,0.9433384071980764,0.25985082950911026,Continuation Pullback
v2_balanced_continuation_only,2026-05-04T15:54:57.016289+00:00,2026-05-05T07:57:56.784684+00:00,BZUSDT,4h,Continuation,Bullish,Trending,Low,loss,Fail-Fast Exit,-0.12368332,-0.15027523,-0.22811019,113.98,111.87785714285715,116.3344,118.1842857142857,0.889,0.9063,1.0,0.889,1.1943278102918997,1.67453030513869,0.7170101752237197,Continuation Pullback
v2_balanced_continuation_only,2026-04-30T16:58:50.074245+00:00,2026-04-30T17:14:08.124765+00:00,CHIPUSDT,15m,Continuation,Bullish,Balanced,High,win,Partial TP1,0.495,0.2896245,0.4994357,0.06329,0.06265142857142857,0.06392218571428572,0.06456714285714286,0.8519,0.8034,0.85,0.8519,0.7569014249273674,0.7223757143621364,0.0,Continuation Pullback
v2_balanced_continuation_only,2026-05-01T05:27:55.854411+00:00,2026-05-01T09:27:32.635505+00:00,CRVUSDT,15m,Continuation,Bearish,Ranging,High,win,Continuation Trail Stop,0.69119311,0.78796015,0.37122582,0.2354,0.23666428571428572,0.23414835714285714,0.23287142857142856,0.851,0.7826,0.85,0.851,0.7433889798975374,0.9695766385093274,0.074491848215041,Continuation Pullback
v2_balanced_continuation_only,2026-05-03T15:59:59.999000+00:00,2026-05-04T03:59:59.999000+00:00,DASHUSDT,4h,Continuation,Bullish,Trending,Low,win,Target 2,1.56,1.8954,6.39640395,39.17,37.56392857142857,40.96880000000001,42.38214285714287,0.8919,0.9223,1.0,0.8919,,,0.49766267483669857,Continuation Pullback
v2_balanced_continuation_only,2026-05-04T07:56:19.032460+00:00,2026-05-04T11:55:39.133173+00:00,DASHUSDT,4h,Continuation,Bullish,Trending,Low,loss,Invalidation,-1.0,-1.215,-5.56492041,48.73,46.01821428571428,52.038378571428574,54.15357142857143,0.9116,1.0,1.0,0.9116,-0.8457556866413243,0.7412929240583892,0.8944261529500779,Continuation Pullback
v2_balanced_continuation_only,2026-05-04T15:14:10.583929+00:00,2026-05-04T16:56:10.620700+00:00,DASHUSDT,15m,Continuation,Bullish,Balanced,Low,win,Continuation Trail Stop,0.58994762,0.25397245,1.16563523,47.34,46.40464285714286,48.387600000000006,49.21071428571429,0.8323,0.6854,0.85,0.8323,-0.5700146537153828,0.4399798172934797,-0.6672311578055944,Continuation Pullback
v2_balanced_continuation_only,2026-05-01T13:57:49.945647+00:00,2026-05-01T14:58:54.768808+00:00,DOTUSDT,1h,Continuation,Bullish,Balanced,Medium,loss,Invalidation,-1.0,-1.35,-0.93815759,1.222,1.2105357142857143,1.2342667857142857,1.2449285714285714,0.8922,0.9109,1.0,0.8922,3.6865054757860443,1.0074921967717145,0.061898655020703845,Continuation Pullback
v2_balanced_continuation_only,2026-05-02T15:42:34.966992+00:00,2026-05-02T16:13:17.989229+00:00,EDGEUSDT,15m,Continuation,Bearish,Balanced,Medium,loss,Invalidation,-1.0,-0.6575,-0.85735239,1.2272,1.2377214285714286,1.2159420714285716,1.206157142857143,0.8599,0.8904,0.85,0.8599,3.7991275801369504,0.5035964118799077,0.334835665793868,Continuation Pullback
v2_balanced_continuation_only,2026-05-03T23:59:59.999000+00:00,2026-05-04T03:59:59.999000+00:00,EIGENUSDT,4h,Continuation,Bearish,Trending,High,loss,Invalidation,-1.0,-1.2392,-2.84521066,0.1736,0.1785392857142857,0.16871010714285717,0.1637214285714286,0.4806,0.8506,1.0,0.4806,,,-0.01291217388361863,Continuation Pullback
