id,symbol,timeframe,setup_type,bias,state,market_regime,volatility_regime,result,close_reason,timestamp,entry_touched_at,closed_at,r_multiple,allocated_r,pnl_pct,max_profit_pct,max_drawdown_pct,entry_price,stop_loss,target_price_1,target_price_2,engine_tag,entry_type,strategy_version,flow_alignment,structure_strength,clarity_confidence,trend_alignment,trap_risk,conflict_score,scenario_label,scenario_score,decision_signal,decision_market_regime,decision_volatility_regime,volume_z_15m,oi_delta_z_15m,taker_buy_sell_ratio_delta_15m,funding_level_15m,long_short_ratio_delta_15m,market_pressure_4h,mae_r,mfe_r,entry_efficiency,history_log_count,history_events,update_count,log_min_r,log_max_r,first_update_r,last_update_r,first_update_taker_ratio,last_update_taker_ratio,first_update_long_short_ratio,last_update_long_short_ratio,first_update_funding,last_update_funding,close_log_reason
1,APEUSDT,4h,Continuation,Bullish,Long Build-up,Trending,High,loss,Invalidation,2026-04-22T05:35:35.115611+00:00,2026-04-22T05:35:35.115611+00:00,2026-04-23T02:08:51.988860+00:00,-1.0,-1.2705,-3.4199878,0.0,-4.83870968,0.1054,0.10179533285714286,0.10896862047142855,0.11260933428571426,v2_balanced,Continuation Pullback,v2_balanced,0.9758,0.85,0.8659,0.72,0.2092,0.1,mixed_context,0.7938,Breakout Watch,,High,-0.8145028294472151,-0.9364934680343925,-0.9043172043034913,-0.00020931,0.1963768981304086,0.7390861174382555,1.4148,0.0,0.0,0,,0,,,,,,,,,,,
3,SEIUSDT,15m,Continuation,Bullish,Long Build-up,Ranging,High,win,Continuation Trail Stop,2026-04-23T06:40:49.819716+00:00,2026-04-23T06:40:49.819716+00:00,2026-04-23T06:40:49.819716+00:00,0.55441512,0.28657717,0.30906322,0.62121955,-0.21252248,0.06117,0.06082900285714286,0.061507587171428575,0.06185199428571429,v2_balanced,Continuation Pullback,v2_balanced,0.7088,0.85,0.8433,0.72,0.1678,0.0,weak_propulsion,0.55,Breakout Watch,,High,-0.6744907594765754,0.7941143337993829,0.04952778129198629,0.0001,0.14253727756823842,0.008468049871024588,0.3812,1.1144,0.7451,160,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,close",159,,,,,,,,,0.0001,0.0001,Continuation Trail Stop
2,1000SHIBUSDT,15m,Continuation,Bullish,Long Build-up,Ranging,High,loss,Invalidation,2026-04-23T05:07:56.862670+00:00,2026-04-23T05:07:56.862670+00:00,2026-04-23T09:11:03.307815+00:00,-1.0,-1.2059,-0.39970091,0.14778325,-0.61724138,0.00609,0.006065658214285714,0.006114098367857143,0.006138683571428572,v2_balanced,Continuation Pullback,v2_balanced,0.8291,0.85,0.8396,0.72,0.2049,0.1,range_context,0.3422,Breakout Watch,,High,0.4448813841108258,1.1799582208988915,0.6647611528927642,-8.48e-06,0.032964737655634346,0.037796927238422304,1.5443,0.3697,0.1932,11,"update,update,update,update,update,update,update,update,update,update,close",10,,,,,1.0,1.0,1.0,1.0,-9.8e-06,0.0001,Invalidation
5,HYPEUSDT,1h,Continuation,Bullish,Long Build-up,Balanced,Low,loss,Invalidation,2026-04-23T14:55:01.960136+00:00,2026-04-23T14:55:01.960136+00:00,2026-04-24T04:58:43.246253+00:00,-1.0,-1.2098,-1.12918683,0.5700676,-1.27456311,41.56364778,41.09431654178571,42.0892987668,42.50231025642857,v2_balanced,Continuation Pullback,v2_balanced,0.9921,0.85,0.8815,0.72,0.2129,0.0,mixed_context,0.6505,Breakout Watch,,Low,-0.02113078233717645,-0.46795250813167893,-0.2788701538467151,5e-05,0.021281349196760634,-0.1526036243443635,1.1287,0.5048,0.309,57,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,close",56,,,,,0.6982,1.0,1.0366598778004075,1.0,5e-05,5e-05,Invalidation
6,RAVEUSDT,15m,Continuation,Bullish,Long Build-up,Trending,High,loss,Invalidation,2026-04-24T08:04:04.588245+00:00,2026-04-24T08:04:04.588245+00:00,2026-04-24T10:11:15.249891+00:00,-1.0,-0.8927,-2.84629389,0.16003259,-6.12973309,1.03104,1.0016935714285713,1.0600929642857144,1.0897328571428573,v2_balanced,Continuation Pullback,v2_balanced,0.6757,0.85,0.7991,0.72,0.2245,0.1,mixed_context,0.5613,Breakout Watch,,High,0.0,0.2123860943569445,0.33361076334612316,5.978e-05,0.146670577452367,0.5204224681897385,2.1536,0.0562,0.0254,27,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,close",26,,,,,1.1949,0.8341,3.0584415584415585,3.1442188147534194,5.978e-05,5.978e-05,Invalidation
7,MAGMAUSDT,15m,Continuation,Bullish,Long Build-up,Balanced,High,win,Partial TP1,2026-04-24T10:26:30.037576+00:00,2026-04-24T10:26:30.037576+00:00,2026-04-24T10:57:02.690677+00:00,0.495,0.2095335,0.9548345,2.31707317,-0.12195122,0.2214,0.21712928571428572,0.22562800714285716,0.2299414285714286,v2_balanced,Continuation Pullback,v2_balanced,0.6327,0.85,0.8675,0.9,0.1699,0.0,weak_propulsion,0.65,Breakout Watch,,High,0.0,1.259891725218904,0.2599699345976988,0.00035104,0.0014895917756364008,0.04154004517764777,0.0632,1.2012,0.95,9,"update,update,update,update,update,update,update,tp1_hit,close",7,,,,,1.244,1.1364,0.7614937466971993,0.7473353136466888,0.00035104,0.00035104,Partial TP1
10,PIPPINUSDT,4h,Continuation,Bullish,Expansion,Trending,High,loss,Invalidation,2026-04-24T19:58:04.296377+00:00,2026-04-24T19:58:04.296377+00:00,2026-04-24T19:58:04.296377+00:00,-1.0,-1.1114,-5.6302206,0.0,0.0,0.02668,0.02517785714285714,0.028167121428571428,0.029684285714285715,v2_balanced,Continuation Pullback,v2_balanced,0.7235,1.0,0.8806,0.72,0.1542,0.0,mixed_context,0.7918,Breakout Watch,,High,-0.6744907594765682,0.20811606377368536,-0.20717848033302355,0.00039095,-0.002331974663217773,0.7691028525455303,0.0,0.0,,2,"update,close",1,,,,,2.2451,2.2451,2.5124692658939236,2.5124692658939236,0.00039095,0.00039095,Invalidation
8,GALAUSDT,4h,Continuation,Bullish,Long Build-up,Trending,High,win,Target 2,2026-04-24T11:59:47.962794+00:00,2026-04-24T11:59:47.962794+00:00,2026-04-24T20:03:10.032174+00:00,1.49499995,1.91330093,4.44051122,6.09756098,-1.52439024,0.00328,0.0031825760714285713,0.003376449689285714,0.0034748478571428572,v2_balanced,Continuation Pullback,v2_balanced,1.0,0.85,0.8876,0.72,0.1916,0.0,range_context,0.3143,Breakout Watch,,High,-0.8688960886406891,-0.2941148187985413,0.4380548692765165,0.0001,0.0592874285377481,0.6003666512322284,0.5132,2.0529,0.8,18,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,tp1_hit,update,close",16,,,,,1.9332,0.6104,1.637130801687764,1.6874496103198067,0.0001,0.0001,Target 2
14,GALAUSDT,4h,Continuation,Bullish,Long Build-up,Trending,High,loss,Invalidation,2026-04-25T03:56:27.323074+00:00,2026-04-25T03:56:27.323074+00:00,2026-04-25T03:56:27.323074+00:00,-1.0,-1.2825,-3.54033101,0.0,0.0,0.00369,0.0035593617857142858,0.0038193318321428573,0.0039512764285714284,v2_balanced,Continuation Pullback,v2_balanced,1.0,1.0,0.9133,0.72,0.1799,0.0,efficient_build,0.7779,Breakout Watch,,High,-0.9013012004337374,-1.0657086159529208,0.19289805223039957,0.0001,0.07788816442651869,0.930206908740746,0.0,0.0,,2,"update,close",1,,,,,1.08,1.08,2.2959789057350033,2.2959789057350033,0.0001,0.0001,Invalidation
13,ENAUSDT,15m,Continuation,Bullish,Long Build-up,Ranging,High,win,Continuation Trail Stop,2026-04-25T01:33:57.935467+00:00,2026-04-25T01:33:57.935467+00:00,2026-04-25T05:02:38.563661+00:00,0.91063304,0.56495674,0.45272187,0.82530949,-0.32095369,0.10905,0.10850785714285714,0.10958672142857141,0.1101342857142857,v2_balanced,Continuation Pullback,v2_balanced,0.8617,0.85,0.8499,0.72,0.1918,0.1,weak_propulsion,0.55,Breakout Watch,,High,1.8329953342864869,1.2717252017458696,0.06623729926809158,2.56e-06,-0.002377114472026709,-0.023382959010935078,0.6456,1.6601,0.72,44,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,tp1_hit,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,close",42,,,,,1.4028,2.4653,1.4962556165751373,1.4832381425378696,2.56e-06,2.56e-06,Continuation Trail Stop
