candidate,source_signal_id,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,entry_kind,signal_time,entry_touched_at,closed_at,result,close_reason,pnl_pct,r_multiple,position_size_multiplier,allocated_r,entry_price,stop_loss,target_price_1,target_price_2,continuation_quality_ready,continuation_quality_score,market_pressure_4h
balanced_soft,3,SEIUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-23T06:40:50.276974+00:00,2026-04-23T06:40:50.276974+00:00,2026-04-23T09:11:03.307815+00:00,win,Continuation Trail Stop,0.38222035,0.68564852,0.5169,0.35441172,0.06117,0.06082900285714286,0.061507587171428575,0.06185199428571429,False,0.0,0.008468049871024588
balanced_soft,12,FILUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-24T21:44:55.633568+00:00,2026-04-24T21:44:55.633568+00:00,2026-04-28T23:56:54.234221+00:00,loss,Fail-Fast Exit,-2.75423729,-0.36381809,0.9328,-0.33936952,0.944,0.8725357142857142,1.0147496428571428,1.0869285714285715,False,0.0,0.05720649990394683
balanced_soft,13,ENAUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-25T01:33:59.000209+00:00,2026-04-25T01:33:59.000209+00:00,2026-04-25T05:12:49.116208+00:00,win,Continuation Trail Stop,0.45264907,0.91048661,0.6204,0.5648659,0.10905,0.10850785714285714,0.10958672142857141,0.1101342857142857,False,0.3295,-0.023382959010935078
balanced_soft,16,KATUSDT,15m,Continuation,Bullish,Trending,High,market,2026-04-25T07:40:22.993297+00:00,2026-04-25T07:40:22.993297+00:00,2026-04-25T07:55:37.778942+00:00,loss,Invalidation,-3.56119525,-1.0,1.1318,-1.1318,0.02443,0.02356,0.0252913,0.02617,False,0.3965,-0.8965367461561348
balanced_soft,18,QUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-25T08:56:46.260822+00:00,2026-04-25T08:56:46.260822+00:00,2026-04-25T09:57:49.020914+00:00,loss,Invalidation,-1.34165481,-1.0,0.441,-0.441,0.010741,0.010596892857142859,0.010883666071428572,0.011029214285714285,False,0.3212,-0.26417931914575477
balanced_soft,19,ADAUSDT,15m,Continuation,Bearish,Ranging,Medium,market,2026-04-25T11:44:49.786325+00:00,2026-04-25T11:44:49.786325+00:00,2026-04-25T13:26:38.740462+00:00,loss,Invalidation,-0.27254145,-1.0,1.1922,-1.1922,0.2516,0.2522857142857143,0.2508662857142857,0.2502285714285714,False,0.3196,0.20911764555061185
balanced_soft,21,ENJUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T00:59:13.367085+00:00,2026-04-26T00:59:13.367085+00:00,2026-04-26T01:29:43.538436+00:00,loss,Invalidation,-0.96529571,-1.0,0.4527,-0.4527,0.06471,0.06408535714285715,0.06532839642857143,0.0659592857142857,False,0.2796,0.04831177509499676
balanced_soft,25,KATUSDT,15m,Continuation,Bullish,Balanced,High,pending_limit,2026-04-26T10:32:15.906317+00:00,2026-04-26T10:42:34.098790+00:00,2026-04-26T11:29:54.940960+00:00,win,Partial TP1,1.13345074,0.495,0.8997,0.4453515,0.01285621,0.012561828571428572,0.013147647614285714,0.013444972857142856,False,0.0,-0.01702290038575171
balanced_soft,30,SOONUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T11:55:38.412031+00:00,2026-04-26T11:55:38.412031+00:00,2026-04-26T12:57:19.429954+00:00,loss,Fail-Fast Exit,-1.02692422,-0.5394362,0.5419,-0.29232047,0.19042593,0.1868007932142857,0.19401481541785714,0.1976762035714286,False,0.3138,-0.06901810078247064
balanced_soft,40,HIGHUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T20:20:05.694944+00:00,2026-04-26T20:20:05.694944+00:00,2026-04-26T20:40:46.975684+00:00,loss,Invalidation,-1.72450199,-1.0,0.5825,-0.5825,0.23074264,0.22676347857142856,0.23468200981428572,0.23870096285714287,False,0.3015,-0.4903518086908529
balanced_soft,41,SONICUSDT,15m,Continuation,Bearish,Ranging,High,market,2026-04-26T21:54:51.827206+00:00,2026-04-26T21:54:51.827206+00:00,2026-04-26T21:58:06.978358+00:00,loss,Invalidation,-0.50435252,-1.0,0.9152,-0.9152,0.03833968,0.038533047142857144,0.038148246528571426,0.037952945714285716,False,0.319,0.4515068179932551
balanced_soft,43,ONDOUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-26T23:18:58.803078+00:00,2026-04-26T23:18:58.803078+00:00,2026-04-30T23:56:37.107812+00:00,loss,Fail-Fast Exit,-1.39045472,-0.19499341,0.5539,-0.10800685,0.2661,0.247125,0.28678275,0.30405,False,0.7327,-0.1038369282845766
balanced_soft,46,SEIUSDT,24h,Continuation,Bullish,Trending,High,market,2026-04-27T01:50:28.551390+00:00,2026-04-27T01:50:28.551390+00:00,2026-04-30T23:56:37.107812+00:00,loss,Invalidation,-7.34892281,-1.0,1.2678,-1.2678,0.06326,0.05861107142857143,0.06832733214285713,0.07255785714285713,False,0.7327,-0.40266542898841684
balanced_soft,49,SPKUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-27T04:02:43.626465+00:00,2026-04-27T04:02:43.626465+00:00,2026-04-27T11:56:00.061039+00:00,loss,Invalidation,-7.93858599,-1.0,1.2411,-1.2411,0.03874,0.03566459178571428,0.04178465413214286,0.04489081642857143,False,0.4086,0.16792663325711935
balanced_soft,50,MONUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-27T04:02:46.633158+00:00,2026-04-27T04:02:46.633158+00:00,2026-04-27T11:56:00.061039+00:00,loss,Invalidation,-3.69866835,-1.0,1.2569,-1.2569,0.03272,0.031509795714285714,0.03391810224285714,0.03514040857142857,False,0.4086,0.27019177692784824
balanced_soft,52,AXSUSDT,15m,Continuation,Bullish,Balanced,Medium,market,2026-04-27T14:08:28.137705+00:00,2026-04-27T14:08:28.137705+00:00,2026-04-27T15:14:41.059541+00:00,win,Partial TP1,0.71448806,0.535,1.3367,0.7151345,1.412,1.393142857142857,1.4321771428571428,1.4497142857142857,False,0.321,0.326850278984584
balanced_soft,53,APEUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T04:00:32.395208+00:00,2026-04-28T04:00:32.395208+00:00,2026-04-28T04:41:16.652168+00:00,win,Target 2,1.83665492,1.495,0.421,0.629395,0.1439,0.14213214285714285,0.1456501785714286,0.1474357142857143,True,0.4026,0.2613758846592708
balanced_soft,54,SIRENUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T06:38:24.522862+00:00,2026-04-28T06:38:24.522862+00:00,2026-04-28T09:57:09.555167+00:00,win,Continuation Trail Stop,1.20641943,0.58318017,0.6265,0.36536238,0.6992,0.6847357142857143,0.7135196428571429,0.7281285714285715,True,0.4311,-0.20252158733565198
balanced_soft,57,币安人生USDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T09:06:10.991617+00:00,2026-04-28T09:06:10.991617+00:00,2026-04-28T10:59:59.999000+00:00,win,Partial TP1,0.63917487,0.495,0.5513,0.2728935,0.36924,0.36447214285714286,0.3739601785714286,0.3787757142857143,True,0.4311,-0.3603861032506503
balanced_soft,61,PRLUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-28T18:20:45.849038+00:00,2026-04-28T18:20:45.849038+00:00,2026-04-28T19:57:31.782211+00:00,loss,Stale Exit,-1.11174458,-0.49591281,0.4481,-0.22221853,0.3508,0.3429357142857143,0.35858564285714284,0.3665285714285714,True,0.4706,-0.8318016054688584
balanced_soft,65,HUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-29T00:02:03.863579+00:00,2026-04-29T00:02:03.863579+00:00,2026-04-29T23:59:59.999000+00:00,loss,Fail-Fast Exit,-1.13047314,-0.14960774,0.6412,-0.09592848,0.18134,0.1676375,0.194905475,0.208745,False,0.2138,0.14204809695168077
balanced_soft,66,DOGEUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-29T00:27:29.829690+00:00,2026-04-29T00:27:29.829690+00:00,2026-04-29T01:59:07.419247+00:00,win,Partial TP1,0.17726481,0.495,1.1597,0.5740515,0.09963,0.09927321428571428,0.09998321785714286,0.10034357142857142,True,0.5067,0.050771910025883285
