symbol,timeframe,timestamp,body_change,rolling_change,volume_z,effort_result_state,absorption_candidate,climax_candidate,efficient_move_candidate,oi_build_type,oi_semantic_state,taker_price_divergence,crowding_status,liquidation_context,setup_type,market_state,bias,action_status
XRPUSDT,24h,2026-04-21T00:00:00+00:00,0.022410547080486905,0.022410547080486905,-0.25830733163126973,Normal,False,False,False,unknown,unreliable,False,crowded_long,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-21T04:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-21T04:00:00+00:00,-0.0003019509333806121,-0.0003019509333806121,-0.7274972639301512,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,24h,2026-04-21T04:00:00+00:00,0.022410547080486905,0.022410547080486905,-0.25830733163126973,Normal,False,False,False,unknown,unreliable,False,crowded_long,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-21T08:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-21T08:00:00+00:00,0.010600557776201114,0.010600557776201114,-0.40251655513770684,,False,False,False,,,False,,,Accumulation,Long Build-up,Bullish,Building
XRPUSDT,24h,2026-04-21T08:00:00+00:00,0.022410547080486905,0.022410547080486905,-0.25830733163126973,Normal,False,False,False,unknown,unreliable,False,crowded_long,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-21T12:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-21T12:00:00+00:00,-0.00027804810232182536,-0.00027804810232182536,-0.07587958719178028,Normal,False,False,False,unknown,unreliable,False,crowded_long,liquidation_noise,None,Trap,Bullish,Building
XRPUSDT,24h,2026-04-21T12:00:00+00:00,0.022410547080486905,0.022410547080486905,-0.25830733163126973,Normal,False,False,False,unknown,unreliable,False,crowded_long,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-21T16:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-21T16:00:00+00:00,-0.005693644833820046,-0.005693644833820046,-0.08281416036550962,Normal,False,False,False,unknown,unreliable,False,neutral,liquidation_noise,None,Trap,Bullish,Building
XRPUSDT,24h,2026-04-21T16:00:00+00:00,0.022410547080486905,0.022410547080486905,-0.25830733163126973,Normal,False,False,False,unknown,unreliable,False,crowded_long,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-21T20:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-21T20:00:00+00:00,-0.012665213717876656,-0.012665213717876656,0.9229635446413029,Normal,False,False,False,unknown,unreliable,False,neutral,liquidation_noise,None,Trap,Bullish,Building
XRPUSDT,24h,2026-04-21T20:00:00+00:00,0.022410547080486905,0.022410547080486905,-0.25830733163126973,Normal,False,False,False,unknown,unreliable,False,crowded_long,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-22T00:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-22T00:00:00+00:00,0.014846865925348935,0.014846865925348935,-0.1634540187376051,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Pre-Squeeze,Bullish,Building
XRPUSDT,24h,2026-04-22T00:00:00+00:00,0.006265945370337166,0.006265945370337166,-0.5799752533852505,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-22T04:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-22T04:00:00+00:00,0.007563678711929734,0.007563678711929734,0.793367576504913,Normal,False,False,False,unknown,unreliable,False,neutral,liquidation_noise,None,Long Build-up,Bullish,Building
XRPUSDT,24h,2026-04-22T04:00:00+00:00,0.006265945370337166,0.006265945370337166,-0.5799752533852505,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-22T08:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-22T08:00:00+00:00,0.0076939072572259565,0.006995913278381934,21.628500611374577,Normal,False,False,False,unknown,unreliable,False,crowded_short,liquidation_noise,None,Trap,Bullish,Building
